orix,oriy,oriz,gyrox,gyroy,gyroz,linerx,linery,linerz,accx,accy,accz,gravx,gravy,gravz,temps
228.63,13.50,131.31,0.57,-0.74,-0.02,-2.72,-0.95,3.12,-0.46,-8.14,-3.15,2.25,-7.19,-6.27,26
226.63,13.00,130.94,0.42,-0.74,-0.10,-2.76,-1.07,2.95,-0.55,-8.28,-3.31,2.21,-7.21,-6.26,26
225.81,12.81,130.88,0.27,-0.73,-0.17,-2.87,-1.20,2.61,-0.52,-8.73,-3.91,2.15,-7.22,-6.26,26
225.13,12.69,130.88,0.00,-0.63,-0.31,-3.01,-1.43,1.82,-0.87,-8.65,-4.45,2.13,-7.22,-6.27,26
224.19,12.50,131.13,-0.08,-0.57,-0.35,-2.98,-1.43,1.90,-0.85,-8.64,-4.39,2.12,-7.20,-6.29,26
223.81,12.50,131.25,-0.13,-0.55,-0.39,-2.21,-0.53,1.13,0.03,-8.27,-4.98,2.12,-7.17,-6.33,26
223.50,12.44,131.44,-0.13,-0.54,-0.45,-1.83,-1.11,1.17,0.28,-8.27,-5.18,2.12,-7.15,-6.35,26
222.94,12.50,131.69,-0.10,-0.53,-0.52,-1.77,-0.68,0.76,0.35,-7.82,-5.61,2.12,-7.14,-6.37,26
222.63,12.56,131.88,-0.11,-0.60,-0.62,-2.19,-0.87,0.19,-0.05,-7.99,-6.19,2.13,-7.12,-6.39,26
222.25,12.56,132.06,-0.11,-0.67,-0.73,-2.39,-1.58,0.42,-0.01,-9.12,-5.57,2.15,-7.08,-6.43,26
221.63,12.75,132.38,0.00,-0.64,-0.80,-2.13,-2.40,1.28,0.03,-9.46,-5.16,2.16,-7.06,-6.44,26
221.44,12.88,132.44,0.08,-0.45,-0.73,-1.88,-2.54,1.72,0.30,-9.59,-4.72,2.22,-7.04,-6.44,26
221.56,13.06,132.38,0.16,-0.19,-0.65,-1.67,-2.34,1.91,0.47,-9.12,-4.93,2.26,-7.05,-6.42,26
221.88,13.31,132.31,0.24,0.08,-0.61,-2.08,-1.90,0.84,0.24,-8.96,-5.56,2.32,-7.05,-6.40,26
223.31,14.19,132.06,0.29,0.47,-0.68,-2.00,-1.69,0.22,0.39,-8.75,-6.14,2.49,-7.05,-6.33,26
224.25,14.69,131.88,0.30,0.57,-0.78,-1.74,-1.51,-0.10,1.10,-8.19,-6.69,2.59,-7.05,-6.29,26
225.31,15.31,131.75,0.32,0.61,-0.89,-1.48,-1.13,-0.39,1.71,-8.17,-6.83,2.69,-7.05,-6.25,26
226.38,15.94,131.56,0.39,0.59,-1.07,3.65,-3.77,-0.55,6.46,-10.82,-6.77,2.80,-7.04,-6.21,26
228.31,17.19,131.25,0.33,0.46,-0.98,3.25,-4.26,-0.19,8.75,-11.71,-6.22,2.97,-7.02,-6.15,26
229.06,17.63,131.19,0.22,0.33,-0.82,3.79,-2.33,1.80,6.81,-9.35,-4.34,3.02,-7.01,-6.14,26
229.50,18.06,131.25,0.02,-0.15,-0.48,1.84,-1.15,0.62,4.88,-8.16,-5.53,3.04,-7.00,-6.15,26
229.44,18.13,131.31,0.03,-0.25,-0.34,1.46,-0.60,-0.71,4.07,-8.04,-7.16,3.05,-6.99,-6.16,26
229.19,18.13,131.38,0.15,-0.41,-0.33,0.44,-0.01,-1.05,3.49,-7.00,-7.21,3.05,-6.98,-6.16,26
228.50,18.06,131.38,0.24,-0.47,-0.36,0.31,0.33,-1.13,3.36,-6.66,-7.29,3.05,-6.99,-6.16,26
228.00,18.06,131.25,0.38,-0.51,-0.38,0.30,0.00,-0.62,3.34,-6.99,-6.77,3.04,-7.02,-6.12,26
227.44,18.06,131.06,0.51,-0.48,-0.37,0.17,-0.64,-0.08,3.21,-7.69,-6.18,3.03,-7.05,-6.09,26
226.38,18.00,130.50,0.75,-0.32,-0.26,0.02,-0.67,0.06,3.06,-7.76,-5.98,3.03,-7.08,-6.05,26
225.81,18.00,130.06,0.84,-0.24,-0.19,-0.19,-0.27,0.16,2.84,-7.40,-5.83,3.03,-7.13,-6.00,26
225.31,18.00,129.56,0.92,-0.17,-0.14,-0.46,0.18,0.56,2.36,-6.56,-5.08,3.04,-7.23,-5.88,26
224.88,18.06,129.06,0.98,-0.11,-0.15,-0.79,0.87,0.99,2.26,-6.41,-4.81,3.05,-7.28,-5.81,26
224.19,18.25,128.00,1.06,-0.01,-0.29,-0.97,0.92,1.59,2.09,-6.40,-4.14,3.07,-7.33,-5.73,26
224.00,18.44,127.44,1.07,0.04,-0.40,-0.81,0.10,2.34,2.28,-7.28,-3.31,3.10,-7.38,-5.65,26
224.00,18.69,126.88,1.04,0.16,-0.45,-0.32,-0.97,2.92,3.48,-9.00,-2.33,3.19,-7.46,-5.49,26
224.13,18.94,126.38,0.82,0.36,-0.36,3.43,-0.63,0.83,6.67,-8.12,-4.59,3.23,-7.49,-5.42,26
224.50,19.50,125.56,0.61,0.18,-0.41,3.33,0.27,0.38,6.60,-7.24,-4.99,3.27,-7.51,-5.37,26
224.31,19.69,125.44,0.42,-0.15,-0.51,2.60,0.64,0.65,5.90,-6.87,-4.69,3.32,-7.52,-5.34,26
224.19,19.81,125.38,0.33,-0.37,-0.57,0.42,0.79,2.43,3.76,-6.72,-2.89,3.34,-7.52,-5.32,26
223.94,20.13,125.19,0.38,-0.21,-0.52,0.36,0.81,2.44,3.74,-6.71,-2.86,3.37,-7.52,-5.30,26
224.00,20.31,125.00,0.43,-0.04,-0.50,0.64,1.55,2.03,4.05,-5.97,-3.24,3.45,-7.53,-5.24,26
224.13,20.56,124.81,0.47,0.08,-0.53,0.87,1.45,1.39,4.65,-6.61,-4.41,3.50,-7.53,-5.20,26
224.38,20.88,124.56,0.46,0.15,-0.68,1.27,0.33,0.63,4.83,-7.20,-4.52,3.56,-7.53,-5.16,26
225.06,21.63,124.19,0.40,0.14,-0.74,1.05,-0.28,0.51,5.56,-7.79,-4.36,3.68,-7.52,-5.10,26
225.50,22.06,124.13,0.32,0.13,-0.78,1.87,-0.27,0.73,4.02,-7.60,-4.18,3.75,-7.50,-5.07,26
225.94,22.50,124.06,0.16,0.23,-0.86,0.49,-0.41,0.18,4.32,-7.89,-4.87,3.82,-7.47,-5.05,26
227.19,23.44,124.06,0.06,0.21,-0.87,0.37,-0.29,0.45,4.28,-7.74,-4.58,3.90,-7.45,-5.04,26
227.88,23.88,124.19,-0.05,0.21,-0.92,0.40,-0.42,0.61,4.10,-7.84,-4.02,4.05,-7.36,-5.03,26
229.56,24.94,124.56,-0.22,0.28,-0.93,-1.69,-1.80,1.26,2.44,-9.12,-3.78,4.13,-7.32,-5.04,26
230.31,25.38,124.75,-0.25,0.23,-0.84,-1.51,-0.53,2.27,2.69,-7.81,-2.77,4.20,-7.27,-5.05,26
230.81,25.69,124.94,-0.17,0.06,-0.63,-1.59,0.34,2.64,3.82,-5.55,-1.72,4.27,-7.21,-5.07,26
231.00,25.81,125.06,-0.17,-0.31,-0.13,0.70,1.88,2.37,4.97,-5.31,-2.73,4.26,-7.20,-5.10,26
230.50,25.63,125.50,-0.18,-0.52,0.02,1.33,2.74,3.42,5.57,-4.45,-1.71,4.24,-7.19,-5.13,26
229.88,25.25,125.75,-0.18,-0.77,0.18,1.22,2.33,2.48,5.42,-4.85,-2.69,4.11,-7.19,-5.23,26
228.94,24.81,126.00,-0.21,-0.94,0.38,1.24,3.22,1.63,5.26,-3.98,-3.65,4.02,-7.21,-5.29,26
226.44,23.44,126.50,-0.30,-1.16,0.81,1.71,3.49,0.58,5.62,-3.73,-4.77,3.90,-7.22,-5.35,26
