orix,oriy,oriz,gyrox,gyroy,gyroz,linerx,linery,linerz,accx,accy,accz,gravx,gravy,gravz,temps
102.19,-68.00,156.19,0.02,-0.03,0.02,0.17,-0.09,0.05,-8.92,-1.57,-3.29,-9.09,-1.47,-3.35,27
102.19,-68.06,156.19,0.02,-0.04,0.02,0.16,-0.08,0.04,-8.92,-1.55,-3.30,-9.09,-1.47,-3.34,27
102.19,-68.06,156.19,0.03,-0.04,0.02,0.20,-0.07,0.03,-8.87,-1.55,-3.31,-9.10,-1.47,-3.34,27
102.19,-68.13,156.19,0.03,-0.05,0.03,0.25,-0.10,0.04,-8.85,-1.57,-3.28,-9.10,-1.47,-3.33,27
102.19,-68.19,156.13,0.02,-0.05,0.03,0.29,-0.09,0.06,-8.80,-1.56,-3.26,-9.10,-1.47,-3.33,27
102.19,-68.19,156.13,0.02,-0.04,0.03,0.28,-0.11,0.07,-8.81,-1.58,-3.25,-9.10,-1.46,-3.32,27
102.19,-68.25,156.19,0.02,-0.04,0.03,0.24,-0.09,0.02,-8.86,-1.56,-3.29,-9.11,-1.46,-3.32,27
102.19,-68.25,156.19,0.02,-0.04,0.03,0.22,-0.09,0.06,-8.88,-1.55,-3.24,-9.11,-1.46,-3.31,27
102.13,-68.31,156.19,0.02,-0.04,0.03,0.24,-0.08,0.05,-8.86,-1.54,-3.25,-9.11,-1.45,-3.30,27
102.13,-68.38,156.19,0.03,-0.05,0.03,0.28,-0.09,0.04,-8.79,-1.55,-3.24,-9.11,-1.45,-3.30,27
102.13,-68.38,156.19,0.03,-0.06,0.02,0.33,-0.11,0.00,-8.79,-1.56,-3.29,-9.12,-1.45,-3.29,27
102.19,-68.44,156.13,0.04,-0.05,0.02,0.33,-0.10,0.02,-8.78,-1.55,-3.26,-9.12,-1.45,-3.28,27
102.19,-68.44,156.06,0.04,-0.04,0.02,0.32,-0.14,0.07,-8.79,-1.58,-3.26,-9.12,-1.45,-3.28,27
102.19,-68.50,156.06,0.05,-0.03,0.01,0.32,-0.13,0.01,-8.79,-1.59,-3.26,-9.12,-1.45,-3.27,27
102.25,-68.50,156.06,0.06,-0.03,0.01,0.28,-0.13,0.00,-8.83,-1.58,-3.28,-9.12,-1.45,-3.27,27
102.31,-68.56,155.94,0.06,-0.03,0.01,0.28,-0.10,-0.03,-8.85,-1.56,-3.27,-9.12,-1.45,-3.26,27
102.38,-68.56,155.94,0.06,-0.04,0.01,0.33,-0.10,0.00,-8.79,-1.56,-3.26,-9.13,-1.46,-3.26,27
102.38,-68.56,155.88,0.06,-0.04,0.02,0.37,-0.11,0.00,-8.76,-1.57,-3.25,-9.13,-1.46,-3.26,27
102.44,-68.63,155.81,0.06,-0.03,0.02,0.39,-0.10,0.00,-8.74,-1.56,-3.26,-9.13,-1.46,-3.25,27
102.50,-68.63,155.81,0.06,-0.03,0.03,0.37,-0.11,0.00,-8.73,-1.53,-3.18,-9.13,-1.45,-3.25,27
102.50,-68.69,155.81,0.05,-0.02,0.05,0.38,-0.07,0.09,-8.75,-1.52,-3.15,-9.13,-1.45,-3.24,27
102.50,-68.69,155.88,0.05,-0.01,0.05,0.40,-0.11,0.07,-8.73,-1.56,-3.17,-9.13,-1.45,-3.24,27
102.50,-68.69,155.94,0.05,-0.00,0.05,0.36,-0.07,0.08,-8.79,-1.54,-3.18,-9.14,-1.44,-3.24,27
102.50,-68.75,156.00,0.04,0.00,0.06,0.36,-0.08,0.09,-8.77,-1.52,-3.14,-9.14,-1.44,-3.24,27
102.56,-68.75,156.06,0.05,0.01,0.06,0.34,-0.08,0.05,-8.79,-1.52,-3.19,-9.14,-1.43,-3.24,27
