orix,oriy,oriz,gyrox,gyroy,gyroz,linerx,linery,linerz,accx,accy,accz,gravx,gravy,gravz,temps
179.31,-85.63,4.19,1.15,-0.32,-0.38,2.24,-0.93,-2.20,-7.53,-1.68,-1.96,-9.77,-0.75,0.23,27
180.94,-85.13,4.56,1.12,-0.21,-0.42,2.21,-0.79,-2.83,-7.55,-1.58,-2.56,-9.77,-0.78,0.26,27
181.75,-84.81,4.81,1.07,-0.13,-0.47,2.18,-0.79,-3.14,-7.58,-1.62,-2.85,-9.76,-0.87,0.30,27
182.63,-84.56,5.06,1.02,-0.10,-0.51,2.29,0.10,-2.21,-7.46,-0.81,-1.89,-9.75,-0.91,0.31,27
184.13,-84.00,5.63,0.88,0.02,-0.50,0.76,0.33,-2.05,-8.99,-0.63,-1.73,-9.75,-0.96,0.32,27
184.88,-83.75,5.88,0.81,0.00,-0.50,0.35,1.27,-2.48,-9.38,0.26,-2.15,-9.74,-1.05,0.34,27
185.44,-83.44,6.13,0.69,-0.05,-0.52,0.16,1.74,-2.85,-9.64,0.24,-2.61,-9.73,-1.10,0.36,27
186.00,-83.13,6.44,0.44,-0.26,-0.56,0.63,-0.30,-4.00,-9.09,-1.46,-3.61,-9.73,-1.15,0.39,27
187.13,-82.50,70.19,0.67,-0.32,-0.42,1.08,-1.57,-3.44,-7.74,-1.59,-2.04,-9.72,-1.21,0.46,27
187.75,-82.38,69.00,1.04,-0.24,-0.24,1.97,-0.38,-2.50,-6.67,-0.83,-1.06,-9.71,-1.22,0.49,27
188.31,-82.19,68.19,1.35,0.02,-0.32,1.41,-0.03,-1.76,-8.30,-1.28,-1.25,-9.71,-1.25,0.50,27
190.13,-81.88,68.13,1.29,0.05,-0.39,1.31,0.81,-1.33,-8.39,-0.47,-0.81,-9.70,-1.31,0.52,27
190.88,-81.69,68.19,1.09,0.04,-0.39,1.37,-0.01,-1.21,-8.32,-1.35,-0.68,-9.69,-1.33,0.53,27
192.25,-81.38,68.31,0.85,0.06,-0.27,1.52,-1.01,-1.61,-8.17,-2.37,-1.07,-9.69,-1.36,0.54,27
192.88,-81.25,68.75,0.88,0.15,-0.30,1.34,-1.20,-1.49,-8.35,-2.58,-0.95,-9.69,-1.38,0.53,27
193.56,-81.06,69.56,0.93,0.24,-0.41,1.29,-1.41,-0.55,-9.30,-2.54,0.61,-9.68,-1.46,0.50,27
195.25,-80.63,72.13,0.97,0.39,-0.60,-0.10,-0.48,0.21,-9.78,-1.99,0.70,-9.67,-1.51,0.48,27
196.06,-80.38,73.38,0.91,0.35,-0.63,-0.21,0.03,0.21,-9.88,-1.53,0.67,-9.66,-1.57,0.46,27
196.81,-80.06,74.38,0.79,0.29,-0.64,-0.27,0.34,0.45,-9.93,-1.28,0.90,-9.65,-1.68,0.44,27
197.56,-79.75,75.25,0.66,0.22,-0.64,0.03,0.31,-0.03,-9.60,-1.42,0.40,-9.64,-1.73,0.43,27
198.75,-79.13,76.31,0.47,0.09,-0.58,-2.90,0.33,-4.50,-12.53,-1.45,-4.06,-9.63,-1.79,0.43,27
199.44,-78.75,76.06,0.66,-0.13,-0.70,-2.35,2.99,-0.45,-11.97,1.14,0.00,-9.61,-1.85,0.45,27
200.25,-78.19,75.50,0.71,-0.31,-0.93,1.25,1.61,1.52,-11.48,-0.35,-0.11,-9.58,-2.02,0.52,27
200.94,-77.69,75.38,0.25,-0.33,-0.68,-1.47,2.69,-0.13,-11.03,0.60,0.42,-9.56,-2.08,0.56,27
201.69,-77.00,74.19,0.31,-0.31,-0.34,-2.43,2.60,-0.19,-11.99,0.48,0.40,-9.55,-2.11,0.59,27
201.88,-76.94,73.44,0.35,-0.27,-0.10,-2.07,2.68,-0.47,-11.63,0.56,0.15,-9.55,-2.11,0.66,27
202.00,-76.94,72.56,0.38,-0.25,0.05,-1.84,1.76,-0.71,-11.40,-0.32,-0.02,-9.55,-2.09,0.69,27
202.06,-77.19,70.69,0.46,-0.19,0.42,-1.81,1.37,-0.63,-11.37,-0.67,0.08,-9.57,-1.99,0.74,27
202.00,-77.44,69.56,0.53,-0.13,0.58,-1.79,0.94,-0.59,-11.15,-1.38,0.07,-9.58,-1.92,0.75,27
201.88,-77.81,68.44,0.62,-0.07,0.68,-1.33,0.09,-0.64,-10.93,-1.75,0.13,-9.59,-1.85,0.77,27
201.88,-78.56,66.31,0.84,0.09,0.75,-1.66,0.04,-1.26,-11.28,-1.73,-0.48,-9.61,-1.77,0.77,27
201.94,-79.00,65.38,0.93,0.19,0.74,-1.20,0.29,-1.46,-11.28,-1.52,-0.74,-9.64,-1.62,0.76,27
202.06,-79.44,64.75,0.92,0.40,0.67,-1.34,-0.06,-0.99,-11.00,-1.62,-0.25,-9.65,-1.55,0.74,27
202.25,-80.25,64.50,0.83,0.46,0.62,-1.21,-0.30,-0.57,-10.87,-1.79,0.13,-9.66,-1.49,0.70,27
202.38,-80.69,64.81,0.71,0.51,0.60,-1.02,-0.42,-0.13,-10.13,-1.92,0.77,-9.69,-1.36,0.63,27
202.38,-81.13,65.19,0.47,0.51,0.63,-0.58,-0.41,0.00,-10.28,-1.72,0.59,-9.70,-1.30,0.58,27
202.13,-82.00,66.06,0.38,0.46,0.68,-0.03,-0.19,0.00,-9.74,-1.43,0.54,-9.71,-1.24,0.55,27
201.88,-82.50,66.13,0.27,0.39,0.74,0.47,0.09,-0.81,-9.24,-1.07,-0.29,-9.73,-1.09,0.48,27
201.56,-82.94,65.88,0.14,0.30,0.79,0.90,0.24,-1.93,-8.83,-0.77,-1.46,-9.74,-1.01,0.47,27
200.63,-83.81,5.50,-0.17,0.05,0.76,1.77,-0.57,-1.78,-7.97,-1.52,-1.32,-9.74,-0.94,0.46,27
199.75,-84.13,5.13,-0.36,-0.04,0.69,2.07,-0.67,-1.45,-7.68,-1.56,-0.98,-9.75,-0.88,0.46,27
199.13,-84.44,4.81,-0.53,-0.08,0.64,2.21,-0.28,-1.03,-7.55,-1.11,-0.56,-9.76,-0.77,0.47,27
198.44,-84.69,4.50,-0.68,-0.09,0.59,2.25,-1.17,-0.01,-7.51,-1.90,0.46,-9.76,-0.72,0.47,27
196.94,-85.13,3.94,-0.87,-0.06,0.55,2.22,-1.20,0.26,-7.55,-1.88,0.74,-9.77,-0.67,0.47,27
196.06,-85.38,3.63,-0.88,0.00,0.53,2.17,-1.03,0.52,-7.59,-1.66,0.99,-9.77,-0.62,0.47,27
195.31,-85.63,3.44,-0.89,0.05,0.46,2.22,-1.11,0.60,-7.52,-1.78,0.89,-9.78,-0.55,0.44,27
194.63,-85.81,3.25,-0.92,0.11,0.31,1.94,-1.20,0.53,-7.83,-1.73,0.96,-9.78,-0.53,0.43,27
193.38,-86.13,2.94,-0.91,0.11,0.23,1.85,-1.01,0.88,-7.92,-1.53,1.30,-9.78,-0.51,0.41,27
192.75,-86.19,2.88,-0.95,0.11,0.15,1.26,-1.13,0.50,-8.51,-1.63,0.90,-9.78,-0.49,0.38,27
192.19,-86.31,2.88,-0.98,0.09,0.09,1.11,-1.51,0.80,-8.67,-2.01,1.18,-9.78,-0.49,0.37,27
191.19,-86.31,2.88,-0.88,0.03,-0.01,0.79,-1.28,1.37,-8.99,-1.78,1.74,-9.78,-0.50,0.37,27
190.81,-86.31,2.94,-0.78,0.02,-0.06,0.25,-1.38,1.52,-9.52,-1.89,1.89,-9.78,-0.52,0.35,27
190.50,-86.25,3.00,-0.69,0.02,-0.12,0.10,-1.39,1.53,-9.93,-1.70,1.93,-9.78,-0.54,0.35,27
190.25,-86.19,3.13,-0.61,0.01,-0.16,-0.32,-1.04,1.64,-10.10,-1.59,2.00,-9.78,-0.55,0.35,27
189.81,-86.06,3.31,-0.57,-0.01,-0.14,-0.46,-0.96,1.74,-10.42,-1.53,2.10,-9.78,-0.58,0.34,27
189.56,-86.00,3.38,-0.55,-0.03,-0.10,-0.85,-0.90,1.59,-10.63,-1.49,1.94,-9.78,-0.59,0.35,27
189.31,-85.94,3.44,-0.52,-0.05,-0.01,-0.67,-0.73,1.49,-10.46,-1.33,1.85,-9.78,-0.59,0.35,27
188.69,-85.94,3.44,-0.52,-0.05,0.04,-0.38,-0.45,1.56,-10.16,-1.04,1.91,-9.78,-0.59,0.35,27
188.38,-86.00,3.38,-0.52,-0.03,0.09,-0.81,-0.53,0.80,-10.60,-1.10,1.16,-9.78,-0.57,0.35,27
188.00,-86.06,3.31,-0.47,-0.01,0.22,-0.66,-0.53,1.02,-10.45,-1.09,1.37,-9.78,-0.55,0.35,27
187.19,-86.25,3.06,-0.45,0.03,0.27,-0.42,-0.43,1.01,-10.20,-0.96,1.36,-9.78,-0.52,0.34,27
186.81,-86.44,2.88,-0.43,0.08,0.31,-0.37,-0.54,1.18,-10.37,-1.09,2.04,-9.79,-0.46,0.32,27
186.38,-86.63,2.69,-0.40,0.17,0.36,-0.08,-0.66,1.08,-9.87,-1.10,1.38,-9.79,-0.43,0.30,27
185.56,-87.13,2.31,-0.36,0.22,0.38,-0.21,-0.20,0.95,-10.00,-0.60,1.23,-9.79,-0.40,0.28,27
185.19,-87.38,2.06,-0.32,0.20,0.42,0.33,0.38,0.63,-9.46,0.02,0.89,-9.79,-0.32,0.24,27
184.75,-87.63,1.88,-0.31,0.17,0.45,0.47,0.08,1.14,-9.32,-0.19,1.37,-9.80,-0.27,0.22,27
183.88,-88.13,1.31,-0.30,0.13,0.51,0.86,-0.60,1.66,-8.93,-0.83,1.88,-9.80,-0.22,0.21,27
183.50,-88.38,1.00,-0.27,0.10,0.53,0.66,-0.05,1.67,-9.13,-0.23,1.88,-9.80,-0.17,0.20,27
183.06,-88.56,0.75,-0.21,0.07,0.52,0.75,0.09,1.83,-8.75,-0.34,1.92,-9.80,-0.08,0.19,27
182.69,-88.75,0.44,-0.30,0.02,0.48,1.02,-0.98,1.21,-8.78,-1.02,1.41,-9.80,-0.03,0.19,27
181.81,-88.88,0.00,-0.32,0.03,0.50,0.84,-0.97,1.25,-8.96,-0.97,1.44,-9.80,0.00,0.19,27
181.44,-88.88,-0.25,-0.31,0.13,0.42,0.91,-1.14,1.18,-8.88,-1.09,1.36,-9.80,0.04,0.17,27
181.06,-88.94,-0.44,-0.29,0.19,0.35,0.59,-1.42,0.46,-8.96,-1.30,0.47,-9.80,0.10,0.13,27
180.75,-88.94,-0.56,-0.24,0.28,0.17,0.71,-1.64,0.42,-9.08,-1.52,0.53,-9.80,0.12,0.11,27
180.38,-89.13,-0.69,-0.21,0.32,0.04,0.59,-1.52,0.74,-9.21,-1.40,0.82,-9.80,0.12,0.08,27
180.31,-89.25,-0.63,-0.20,0.31,-0.09,0.52,-0.90,0.63,-9.27,-0.78,0.68,-9.80,0.09,0.02,27
180.31,-89.38,-0.56,-0.24,0.25,-0.20,0.44,-0.23,0.46,-9.36,-0.15,0.48,-9.80,0.07,0.01,27
180.25,-89.63,-0.25,-0.31,0.05,-0.21,-0.07,-0.12,0.09,-9.88,-0.07,0.10,-9.80,0.05,0.00,27
180.13,-89.69,-0.19,-0.27,-0.02,-0.12,0.16,-0.01,0.18,-9.50,0.29,0.10,-9.80,0.04,0.01,27
180.00,-89.69,-0.19,-0.21,-0.07,0.00,0.30,0.25,0.08,-9.32,0.38,-0.29,-9.80,0.05,0.02,27
179.81,-89.63,-0.25,-0.07,-0.12,0.19,0.65,0.11,-0.54,-9.15,0.18,-0.50,-9.80,0.07,0.04,27
179.56,-89.31,-0.50,-0.00,-0.12,0.25,0.63,-0.21,-0.40,-8.74,-0.43,-0.22,-9.80,0.12,0.06,27
179.44,-89.19,-0.69,0.07,-0.10,0.31,1.53,-0.33,-0.38,-8.26,-0.17,-0.31,-9.80,0.15,0.06,27
179.31,-88.94,-0.88,0.18,0.09,0.42,1.99,-0.53,0.88,-7.81,-0.33,0.94,-9.80,0.19,0.05,27
179.00,-88.56,-1.38,0.18,0.24,0.46,1.20,0.06,-0.29,-8.88,-0.15,-0.04,-9.80,0.28,0.00,27
178.81,-88.31,-1.63,0.16,0.32,0.48,1.09,-0.80,0.26,-8.70,-0.46,0.22,-9.80,0.33,-0.03,27
178.63,-88.00,-178.00,0.09,0.53,0.49,0.97,-0.87,0.16,-8.82,-0.49,0.07,-9.79,0.38,-0.08,27
178.25,-87.38,-177.50,0.08,0.60,0.46,0.53,-0.72,0.11,-9.26,-0.29,-0.02,-9.79,0.42,-0.14,27
178.06,-87.06,-177.25,0.11,0.61,0.38,0.11,-1.21,0.11,-9.47,-0.68,0.11,-9.79,0.48,-0.25,27
178.00,-86.75,-177.13,0.20,0.60,0.19,0.38,-0.80,0.58,-9.40,-0.30,0.26,-9.78,0.50,-0.31,27
178.06,-86.25,-177.00,0.20,0.55,0.07,-0.03,-0.65,0.41,-9.82,-0.14,0.04,-9.78,0.51,-0.37,27
