orix,oriy,oriz,gyrox,gyroy,gyroz,linerx,linery,linerz,accx,accy,accz,gravx,gravy,gravz,temps,ms
287.69,-53.31,-124.81,-2.49,-1.05,1.83,0.87,-9.75,-4.07,-6.94,-4.73,-7.22,-7.81,5.02,-3.14,28,3.85
283.38,-52.31,-119.38,-2.44,-1.09,1.71,1.02,-9.45,-3.68,-6.73,-4.23,-6.62,-7.71,5.40,-2.73,28,11.93
281.50,-51.81,-116.75,-2.40,-1.13,1.60,1.22,-9.44,-3.52,-6.49,-4.03,-6.25,-7.66,5.57,-2.51,28,11.9
279.75,-51.38,-114.25,-2.36,-1.17,1.50,1.30,-9.41,-3.38,-6.03,-3.60,-5.60,-7.61,5.73,-2.30,28,11.41
278.19,-50.88,-111.88,-2.30,-1.19,1.32,2.00,-9.03,-2.88,-5.56,-3.15,-4.97,-7.56,5.88,-2.08,28,12.06
275.25,-50.00,-107.25,-2.25,-1.19,1.24,2.04,-9.02,-2.83,-5.47,-3.00,-4.71,-7.51,6.01,-1.87,28,13.18
274.00,-49.56,-105.06,-2.19,-1.18,1.16,2.17,-8.91,-2.76,-5.28,-2.77,-4.41,-7.46,6.13,-1.65,28,8.8
272.88,-49.13,-103.00,-2.14,-1.17,1.09,2.46,-8.70,-2.45,-4.95,-2.40,-3.62,-7.37,6.34,-1.23,28,13.18
271.75,-48.69,-101.00,-2.07,-1.14,1.03,2.74,-8.49,-2.38,-4.57,-2.05,-3.41,-7.32,6.43,-1.03,28,8.85
270.75,-48.25,-99.13,-1.89,-1.04,0.88,2.86,-8.58,-2.59,-4.41,-2.06,-3.44,-7.27,6.51,-0.84,28,11.26
269.00,-47.50,-95.69,-1.78,-0.96,0.80,3.29,-8.36,-1.97,-3.93,-1.77,-2.63,-7.23,6.58,-0.66,28,18.28
268.44,-47.19,-94.31,-1.55,-0.81,0.62,3.24,-7.96,-1.68,-3.95,-1.31,-2.19,-7.19,6.64,-0.50,28,5.05
267.75,-46.88,-92.94,-1.55,-0.81,0.62,3.29,-8.08,-1.59,-3.57,-1.06,-1.81,-7.12,6.73,-0.20,28,12.33
267.19,-46.63,-91.75,-1.39,-0.73,0.52,3.67,-7.47,-1.48,-3.43,-0.72,-1.58,-7.10,6.75,-0.09,28,12.0
266.38,-46.31,-90.00,-1.00,-0.44,0.21,3.72,-7.57,-1.51,-3.37,-0.80,-1.51,-7.09,6.76,0.00,28,12.0
266.31,-46.25,-89.31,-0.87,-0.34,0.11,3.88,-7.30,-1.54,-3.20,-0.52,-1.47,-7.08,6.77,0.07,28,9.05
266.06,-46.25,-88.75,-0.76,-0.25,0.02,3.87,-7.03,-1.59,-3.21,-0.16,-1.41,-7.08,6.77,0.20,28,11.51
265.94,-46.25,-88.25,-0.65,-0.17,-0.06,3.87,-6.93,-1.61,-3.19,0.01,-1.35,-7.09,6.76,0.24,28,10.05
265.81,-46.31,-87.88,-0.50,-0.03,-0.20,3.99,-6.39,-1.58,-3.11,0.35,-1.30,-7.11,6.74,0.27,28,10.03
265.75,-46.44,-87.63,-0.44,0.03,-0.27,4.02,-6.25,-1.64,-3.10,0.47,-1.34,-7.12,6.72,0.30,28,11.08
265.94,-46.81,-87.25,-0.36,0.11,-0.34,4.04,-6.05,-1.67,-3.10,0.64,-1.35,-7.15,6.70,0.32,28,10.24
265.94,-47.00,-87.19,-0.29,0.20,-0.41,3.80,-5.84,-2.05,-3.61,1.06,-1.60,-7.21,6.63,0.31,28,11.86
266.00,-47.31,-87.19,-0.21,0.29,-0.48,3.59,-5.57,-1.92,-3.78,1.25,-1.58,-7.24,6.60,0.30,28,11.0
266.13,-47.63,-87.38,-0.15,0.38,-0.53,3.46,-5.34,-1.88,-3.93,1.41,-1.93,-7.28,6.56,0.27,28,9.16
266.44,-47.94,-87.56,-0.09,0.45,-0.58,2.99,-4.82,-2.31,-4.33,1.68,-2.06,-7.32,6.51,0.24,28,11.55
266.75,-48.63,-88.19,-0.01,0.56,-0.64,2.83,-4.68,-2.46,-4.52,1.78,-2.26,-7.36,6.47,0.20,28,11.63
266.88,-49.06,-88.56,0.02,0.61,-0.68,2.68,-4.50,-2.42,-5.18,2.08,-2.55,-7.45,6.37,0.10,28,12.01
267.06,-49.44,-89.00,0.05,0.66,-0.69,2.26,-4.29,-2.66,-5.18,2.08,-2.55,-7.49,6.32,0.05,28,9.98
267.38,-49.81,-89.50,0.08,0.69,-0.72,2.13,-4.26,-2.78,-5.72,2.21,-2.93,-7.54,6.26,0.00,28,12.02
267.56,-50.25,-90.00,0.18,0.75,-0.78,1.66,-3.81,-3.02,-5.92,2.39,-3.09,-7.58,6.21,-0.07,28,11.22
268.13,-51.13,-91.25,0.22,0.76,-0.82,1.39,-3.47,-3.20,-6.24,2.67,-3.34,-7.63,6.14,-0.14,28,10.0
268.38,-51.56,-91.94,0.23,0.75,-0.86,1.30,-3.20,-3.36,-6.38,2.88,-3.57,-7.68,6.08,-0.21,28,13.29
268.88,-52.06,-92.63,0.24,0.72,-0.90,1.04,-2.90,-3.49,-6.69,3.11,-3.77,-7.73,6.01,-0.27,28,8.26
269.25,-52.56,-93.31,0.22,0.71,-0.95,0.69,-2.56,-3.82,-7.14,3.30,-4.23,-7.84,5.87,-0.40,28,11.66
269.63,-53.13,-93.94,0.11,0.70,-1.03,0.62,-2.34,-3.75,-7.27,3.45,-4.22,-7.90,5.79,-0.46,28,11.38
270.38,-54.19,-95.19,0.06,0.67,-1.06,0.65,-2.22,-3.73,-7.29,3.48,-4.26,-7.95,5.70,-0.52,28,10.06
270.81,-54.75,-95.81,0.02,0.65,-1.09,0.61,-2.20,-3.73,-7.39,3.42,-4.30,-8.01,5.62,-0.57,28,10.94
271.25,-55.38,-96.38,0.00,0.63,-1.13,0.74,-2.12,-3.70,-7.28,3.32,-4.34,-8.12,5.44,-0.66,28,11.02
271.69,-55.94,-97.00,-0.01,0.61,-1.18,1.05,-2.09,-3.43,-7.13,3.25,-4.15,-8.19,5.34,-0.71,28,10.19
272.19,-56.63,-97.63,-0.03,0.62,-1.24,1.00,-2.06,-3.34,-7.25,3.13,-4.22,-8.26,5.20,-0.88,28,11.4
272.88,-57.38,-99.63,-0.07,0.71,-1.38,0.97,-2.00,-3.23,-7.36,3.04,-4.28,-8.33,5.05,-1.05,28,10.94
274.13,-58.88,-102.56,-0.11,0.74,-1.42,0.73,-1.90,-3.16,-7.65,3.03,-4.27,-8.39,4.94,-1.10,28,10.87
274.63,-59.56,-103.44,-0.16,0.74,-1.43,0.42,-1.56,-2.89,-8.11,3.34,-3.97,-8.51,4.71,-1.20,28,10.78
275.06,-60.19,-104.31,-0.21,0.71,-1.41,0.39,-1.36,-2.77,-8.13,3.42,-3.93,-8.56,4.60,-1.25,28,9.75
275.50,-60.88,-105.19,-0.25,0.66,-1.38,0.43,-1.18,-2.68,-8.25,3.34,-3.93,-8.62,4.49,-1.28,28,10.39
276.19,-61.50,-105.94,-0.32,0.58,-1.33,0.48,-1.21,-2.77,-8.19,3.17,-4.09,-8.67,4.38,-1.32,28,11.3
276.94,-62.75,-107.56,-0.37,0.58,-1.33,0.58,-1.23,-2.91,-8.13,3.04,-4.27,-8.71,4.28,-1.35,28,10.62
277.31,-63.31,-108.38,-0.41,0.60,-1.33,0.68,-1.27,-2.91,-7.98,2.54,-4.16,-8.81,4.06,-1.42,28,10.86
277.56,-63.94,-109.31,-0.46,0.64,-1.36,0.82,-1.52,-2.74,-8.01,2.40,-4.08,-8.85,3.95,-1.46,28,10.0
277.88,-64.50,-110.31,-0.54,0.70,-1.40,0.83,-1.54,-2.61,-8.23,2.41,-3.94,-8.89,3.83,-1.50,28,10.99
278.13,-65.13,-111.44,-0.66,0.85,-1.49,0.37,-1.44,-2.25,-8.56,2.27,-3.81,-8.93,3.71,-1.55,28,10.16
278.50,-66.25,-114.06,-0.71,0.89,-1.51,0.22,-1.45,-2.12,-8.75,2.13,-3.73,-9.01,3.47,-1.66,28,13.75
278.69,-66.81,-115.56,-0.74,0.91,-1.52,0.08,-1.20,-1.91,-8.93,2.27,-3.58,-9.05,3.35,-1.71,28,20.29
278.88,-67.38,-117.06,-0.74,0.89,-1.52,-0.02,-1.20,-1.84,-9.42,1.98,-3.53,-9.08,3.23,-1.76,28,0.22
279.06,-67.88,-118.63,-0.71,0.78,-1.50,-0.45,-1.18,-1.79,-9.57,1.93,-3.61,-9.11,3.11,-1.81,28,11.27
279.50,-68.88,-121.75,-0.71,0.69,-1.48,-0.54,-1.18,-1.81,-9.69,1.81,-3.67,-9.15,2.99,-1.85,28,10.57
279.75,-69.38,-123.25,-0.72,0.62,-1.47,-0.63,-1.15,-1.67,-9.81,1.72,-3.56,-9.18,2.87,-1.89,28,9.06
279.94,-69.94,-124.75,-0.76,0.56,-1.48,-0.67,-1.11,-1.73,-9.88,1.64,-3.65,-9.24,2.64,-1.94,28,11.14
280.19,-70.38,-126.31,-0.81,0.53,-1.48,-0.84,-1.12,-1.64,-10.11,1.40,-3.61,-9.26,2.52,-1.96,28,11.82
