orix,oriy,oriz,gyrox,gyroy,gyroz,linerx,linery,linerz,accx,accy,accz,gravx,gravy,gravz,temps,ms
336.94,0.88,10.69,0.04,-0.19,-0.27,0.31,0.05,0.48,0.49,-1.75,10.12,0.17,-1.81,9.63,28,7.17
337.25,1.13,10.56,0.13,-0.17,-0.34,0.45,0.07,0.46,0.65,-1.72,10.10,0.20,-1.80,9.63,28,11.55
337.44,1.25,10.44,0.18,-0.18,-0.38,0.62,0.03,0.47,0.85,-1.74,10.11,0.24,-1.76,9.64,28,12.57
337.69,1.44,10.31,0.23,-0.17,-0.40,0.67,0.01,0.50,0.91,-1.74,10.15,0.27,-1.73,9.64,28,10.61
337.94,1.56,10.19,0.28,-0.18,-0.44,0.69,-0.09,0.53,0.96,-1.82,10.18,0.29,-1.70,9.65,28,11.08
338.19,1.69,9.94,0.33,-0.19,-0.48,1.15,-0.11,0.59,1.48,-1.77,10.24,0.32,-1.66,9.65,28,11.03
338.44,1.88,9.75,0.43,-0.23,-0.55,1.21,-0.18,0.68,1.56,-1.81,10.34,0.35,-1.62,9.66,28,27.09
339.06,2.25,9.19,0.47,-0.27,-0.61,1.10,-0.25,0.74,1.49,-1.82,10.41,0.38,-1.57,9.67,28,6.11
339.63,2.44,8.94,0.51,-0.32,-0.68,1.38,-0.86,0.49,1.80,-2.38,10.16,0.42,-1.52,9.67,28,0.0
340.06,2.69,8.63,0.48,-0.33,-0.81,0.02,-2.07,0.12,1.61,-0.93,11.37,0.52,-1.42,9.68,28,24.49
340.50,3.00,8.31,0.51,-0.41,-0.83,0.67,-0.87,1.00,1.24,-2.23,10.69,0.57,-1.36,9.69,28,0.99
341.50,3.69,7.63,0.56,-0.54,-0.99,0.92,-0.59,0.45,1.56,-1.90,10.14,0.63,-1.30,9.69,28,10.18
342.38,4.06,7.31,0.52,-0.56,-1.05,0.58,-0.66,0.60,1.29,-1.91,10.30,0.70,-1.25,9.70,28,14.26
342.94,4.50,7.00,0.51,-0.59,-1.11,0.59,-0.99,0.48,1.36,-2.18,10.18,0.77,-1.19,9.70,28,9.58
343.56,4.94,6.69,0.49,-0.64,-1.18,0.49,-0.74,0.27,1.29,-1.71,10.12,0.92,-1.08,9.70,28,11.85
344.25,5.38,6.31,0.48,-0.69,-1.25,0.29,-0.76,-0.01,1.30,-1.79,9.68,1.00,-1.02,9.70,28,11.6
344.94,5.88,6.00,0.46,-0.73,-1.29,0.29,-0.76,-0.01,1.35,-1.48,9.47,1.09,-0.97,9.69,28,12.59
346.00,6.38,5.69,0.47,-0.75,-1.32,0.09,-0.48,-0.37,1.26,-1.39,9.32,1.17,-0.91,9.69,28,19.13
346.69,6.88,5.31,0.46,-0.80,-1.34,0.06,-0.48,-0.46,1.32,-1.34,9.22,1.26,-0.85,9.68,28,13.35
348.13,7.88,4.63,0.46,-0.81,-1.33,-0.05,-0.42,-0.65,1.16,-1.17,8.87,1.43,-0.73,9.67,28,2.86
348.81,8.38,4.31,0.45,-0.81,-1.33,-0.26,-0.44,-0.79,1.17,-1.15,8.71,1.51,-0.67,9.66,28,12.26
349.88,8.88,3.94,0.42,-0.82,-1.33,-0.34,-0.48,-0.95,1.25,-1.08,8.61,1.60,-0.61,9.65,28,9.94
350.56,9.38,3.63,0.34,-0.80,-1.34,-0.37,-0.54,-1.26,1.31,-1.10,8.38,1.68,-0.56,9.64,28,12.01
352.06,10.38,3.06,0.28,-0.79,-1.37,-0.48,-0.55,-1.27,1.28,-1.07,8.35,1.84,-0.47,9.61,28,12.78
352.81,10.81,2.75,0.21,-0.78,-1.41,-0.53,-0.61,-1.32,1.31,-1.08,8.29,1.92,-0.43,9.60,28,12.0
353.75,11.31,2.56,0.15,-0.78,-1.44,-0.50,-0.60,-1.34,1.42,-1.03,8.26,2.00,-0.39,9.59,28,10.15
354.50,11.75,2.31,0.10,-0.78,-1.47,-2.65,-0.99,-2.31,-0.58,-1.35,7.26,2.07,-0.35,9.57,28,13.0
355.38,12.19,2.13,0.04,-0.64,-1.36,-7.46,3.11,-0.94,-5.32,2.79,8.61,2.14,-0.32,9.56,28,13.57
356.56,13.00,1.81,-0.04,-0.70,-0.87,-5.12,3.09,-3.23,-2.91,2.78,6.31,2.20,-0.30,9.54,28,18.0
357.19,13.25,1.75,-0.05,-0.48,-0.62,-1.61,0.72,-3.47,0.63,0.42,6.06,2.25,-0.30,9.53,28,4.01
357.50,13.38,1.69,-0.00,-0.22,-0.58,-1.52,0.46,-2.70,0.32,-0.30,7.23,2.28,-0.27,9.53,28,23.72
357.88,13.44,1.63,0.04,-0.09,-0.63,-3.76,2.61,-0.77,-1.46,2.36,8.76,2.29,-0.24,9.53,28,9.0
358.25,13.50,1.44,0.31,0.13,-0.67,-1.10,1.35,-1.04,1.18,1.15,8.49,2.28,-0.20,9.53,28,8.15
358.56,13.44,1.19,0.25,0.16,-0.71,0.13,-0.58,-2.27,2.40,-0.74,7.26,2.27,-0.16,9.53,28,0.1
359.50,13.25,0.75,0.13,0.19,-0.72,-1.19,-0.55,-0.94,1.05,-0.68,8.59,2.25,-0.13,9.54,28,10.99
359.88,13.19,0.63,0.05,0.16,-0.74,-1.32,-0.08,0.18,0.91,-0.19,9.72,2.23,-0.10,9.54,28,14.0
0.31,13.13,0.56,-0.04,0.09,-0.72,-1.78,-0.55,-0.08,1.14,-0.22,9.75,2.23,-0.09,9.54,28,12.01
0.69,13.13,0.56,-0.13,0.04,-0.69,-1.08,-0.12,0.20,1.45,0.40,9.86,2.23,-0.10,9.54,28,8.12
1.13,13.13,0.63,-0.21,-0.03,-0.62,-0.78,0.50,0.31,1.67,0.61,10.08,2.24,-0.11,9.54,28,10.87
1.44,13.19,0.69,-0.21,-0.13,-0.37,-0.78,1.19,1.03,1.46,1.06,10.58,2.25,-0.12,9.54,28,12.34
1.81,13.38,0.81,-0.15,-0.23,-0.27,-0.01,0.18,1.29,2.26,0.05,10.82,2.27,-0.13,9.53,28,14.0
1.94,13.56,0.81,-0.13,-0.35,-0.24,0.75,0.22,0.82,3.06,0.08,10.35,2.30,-0.14,9.52,28,10.73
2.25,13.88,0.88,-0.16,-0.48,-0.23,1.40,-0.55,0.63,3.75,-0.70,10.14,2.41,-0.16,9.50,28,44.01
2.44,14.19,1.00,-0.23,-0.63,-0.30,1.67,-1.71,0.09,3.61,-1.74,9.87,2.48,-0.18,9.48,28,8.0
2.69,14.69,1.13,-0.49,-1.02,-0.52,0.44,-0.71,0.27,3.02,-0.93,9.73,2.58,-0.21,9.45,28,0.28
3.31,15.88,1.56,-0.61,-1.16,-0.54,-1.00,-0.06,0.21,1.68,-0.32,9.64,2.69,-0.26,9.42,28,13.13
3.75,16.56,1.88,-0.66,-1.16,-0.49,-4.24,1.72,-0.55,-1.44,1.41,8.83,2.79,-0.30,9.39,28,10.18
4.00,17.06,2.13,-0.57,-0.95,-0.41,-3.76,2.23,-0.45,-0.87,1.89,8.90,2.94,-0.37,9.34,28,0.0
4.25,17.44,2.25,-0.38,-0.66,-0.33,-2.50,1.79,-0.61,1.99,-0.17,8.20,2.98,-0.38,9.33,28,9.18
4.38,17.69,2.31,-0.24,-0.42,-0.29,-1.33,0.73,-1.21,1.67,0.34,8.11,3.00,-0.39,9.32,28,10.01
4.56,17.81,2.38,-0.14,-0.25,-0.30,-1.65,0.79,-1.43,1.36,0.40,7.88,3.02,-0.38,9.32,28,0.0
4.75,17.94,2.38,-0.04,-0.09,-0.20,-1.39,0.58,-1.24,1.63,0.19,8.07,3.03,-0.38,9.31,28,22.51
4.94,18.06,2.38,-0.13,-0.15,-0.10,-1.25,0.83,-0.54,1.78,0.43,8.76,3.04,-0.39,9.31,28,0.99
5.00,18.19,2.50,-0.22,-0.29,-0.04,-0.99,1.42,-0.59,1.21,-1.54,9.59,3.11,-0.44,9.28,28,13.18
5.06,18.50,2.69,-0.39,-0.48,-0.08,-1.89,-1.10,0.30,2.29,-0.65,8.87,3.16,-0.48,9.26,28,10.42
5.13,18.81,2.94,-0.44,-0.56,-0.03,-0.87,-0.17,-0.39,2.51,0.00,8.80,3.21,-0.52,9.25,28,21.2
5.19,19.06,3.19,-0.35,-0.52,-0.03,-0.63,0.45,0.45,2.62,-0.09,9.68,3.25,-0.55,9.23,28,1.21
5.25,19.63,3.56,-0.29,-0.50,-0.05,-1.48,0.55,0.23,1.82,-0.02,9.45,3.30,-0.57,9.21,28,12.17
5.31,19.88,3.69,-0.26,-0.41,-0.12,-1.46,-0.45,0.12,1.87,-1.05,9.33,3.34,-0.59,9.20,28,11.85
5.63,20.06,3.75,-0.24,-0.30,-0.16,-0.83,0.00,0.28,2.53,-0.60,9.47,3.36,-0.61,9.19,28,8.99
5.75,20.19,3.88,-0.22,-0.25,-0.17,-0.73,0.54,0.44,2.40,-0.14,9.59,3.41,-0.63,9.17,28,10.18
5.88,20.31,3.94,-0.21,-0.25,-0.16,-1.73,1.44,0.68,1.69,0.79,9.84,3.43,-0.64,9.16,28,12.11
5.94,20.50,4.00,-0.17,-0.30,-0.08,-1.80,0.39,0.70,1.65,-0.26,9.85,3.46,-0.66,9.15,28,11.1
6.25,20.88,4.25,-0.26,-0.41,-0.07,-2.56,0.56,-0.29,0.93,-0.12,8.84,3.50,-0.68,9.13,28,23.6
6.31,21.19,4.44,-0.38,-0.51,-0.07,-1.74,-0.36,0.54,1.79,-1.08,9.65,3.54,-0.71,9.11,28,20.45
6.44,21.50,4.69,-0.41,-0.62,-0.11,-2.01,0.84,-0.22,3.13,1.98,7.85,3.66,-0.76,9.06,28,0.0
6.50,21.88,4.81,-0.30,-0.68,-0.09,-0.28,-0.81,-0.36,3.43,-1.58,8.67,3.71,-0.77,9.04,28,11.49
6.56,22.25,4.88,-0.09,-0.64,-0.10,-0.28,-0.81,-0.36,3.66,-1.05,10.06,3.78,-0.76,9.01,28,7.3
6.69,22.69,4.81,-0.00,-0.72,-0.25,-1.39,-0.26,0.78,2.45,-1.00,9.77,3.84,-0.74,8.99,28,0.0
6.81,23.06,4.69,0.29,-0.57,-0.38,0.02,0.44,1.01,3.92,-0.25,9.99,3.89,-0.70,8.97,28,10.99
7.13,23.69,4.13,0.43,-0.53,-0.43,-0.41,0.21,0.82,3.52,-0.43,9.78,3.98,-0.58,8.93,28,11.0
