orix,oriy,oriz,gyrox,gyroy,gyroz,linerx,linery,linerz,accx,accy,accz,gravx,gravy,gravz,temp,ms
289.13,71.25,51.50,0.96,-0.54,-1.37,-2.97,3.14,1.32,6.34,0.80,3.27,9.32,-2.33,1.94,27,8.38
289.31,71.94,50.13,1.18,-0.32,-1.06,-2.78,2.46,1.26,6.56,0.24,3.21,9.35,-2.21,1.94,27,12.04
289.19,72.94,47.19,1.30,-0.20,-0.88,-2.29,2.40,0.95,7.08,0.29,2.90,9.39,-2.02,1.97,27,12.07
289.00,73.25,45.69,1.40,-0.09,-0.71,-2.13,2.38,0.31,7.25,0.35,2.28,9.40,-1.94,1.99,27,11.33
288.44,73.50,44.19,1.41,-0.04,-0.59,-2.16,2.43,0.04,7.23,0.49,2.04,9.41,-1.86,2.01,27,9.13
288.19,73.69,42.75,1.35,-0.04,-0.52,-2.91,3.08,0.02,6.50,1.28,2.05,9.42,-1.79,2.03,27,12.29
287.88,73.94,41.50,1.18,-0.16,-0.40,-3.10,3.32,0.46,6.32,1.58,2.49,9.43,-1.73,2.03,27,11.48
287.19,74.31,39.63,1.15,-0.20,-0.31,-3.10,3.27,-0.01,6.33,1.58,2.02,9.44,-1.68,2.03,27,9.27
286.69,74.50,39.06,1.11,-0.27,-0.19,-3.08,2.90,-0.12,6.36,1.26,1.90,9.45,-1.64,2.03,27,8.72
286.19,74.69,38.88,1.03,-0.37,-0.04,-3.09,3.31,-0.56,6.36,1.69,1.44,9.46,-1.61,1.98,27,10.38
285.75,74.88,39.13,0.92,-0.51,0.08,-2.74,3.66,-0.92,7.93,0.74,1.38,9.47,-1.61,1.93,27,12.01
285.25,75.13,39.81,0.77,-0.69,0.11,-2.79,3.41,-0.96,6.69,1.80,0.89,9.49,-1.60,1.86,27,11.58
284.88,75.44,40.81,0.44,-0.94,0.10,-1.36,4.49,-0.31,8.14,2.88,1.46,9.50,-1.61,1.78,27,9.51
284.56,75.81,42.06,0.34,-0.97,0.05,-3.67,2.40,-1.70,5.85,0.80,0.00,9.52,-1.60,1.69,27,9.86
284.06,76.56,45.13,0.21,-1.04,0.08,-5.46,3.51,-2.27,4.07,1.90,-0.67,9.53,-1.61,1.60,27,10.42
283.88,76.94,47.06,0.12,-1.07,0.12,-4.63,3.24,-1.79,6.75,0.73,-0.45,9.56,-1.63,1.40,27,11.97
283.69,77.25,49.19,0.09,-1.08,0.12,-2.81,2.36,-1.86,6.75,0.73,-0.45,9.58,-1.63,1.30,27,8.95
283.56,77.63,51.38,0.00,-1.11,0.06,-2.78,2.90,-2.25,6.87,1.24,-1.16,9.59,-1.63,1.19,27,10.81
283.56,78.06,53.81,-0.14,-1.17,-0.04,-2.84,2.53,-2.32,6.76,0.90,-1.25,9.61,-1.62,1.07,27,11.91
283.69,78.50,56.44,-0.37,-1.23,-0.20,-2.91,2.25,-2.62,6.70,0.64,-1.66,9.62,-1.61,0.95,27,12.42
284.13,79.44,62.31,-0.46,-1.25,-0.26,-2.60,1.95,-2.35,7.03,0.35,-1.51,9.64,-1.59,0.83,27,9.9
284.50,79.88,65.63,-0.52,-1.26,-0.34,-2.13,1.68,-2.32,7.51,0.12,-1.62,9.65,-1.56,0.70,27,10.62
284.88,80.38,69.19,-0.58,-1.28,-0.41,-1.62,1.68,-1.80,8.80,0.43,-1.11,9.68,-1.48,0.44,27,11.43
285.38,80.88,73.25,-0.66,-1.31,-0.48,-0.70,2.08,-1.24,8.98,0.64,-0.93,9.69,-1.43,0.31,27,10.74
286.00,81.31,77.75,-0.80,-1.35,-0.60,-0.73,2.30,-0.94,8.96,0.92,-0.77,9.70,-1.38,0.17,27,9.94
287.38,82.19,88.38,-0.87,-1.35,-0.65,-0.42,2.50,-0.79,9.29,1.18,-0.76,9.71,-1.32,0.03,27,10.99
