orix,oriy,oriz,gyrox,gyroy,gyroz,linerx,linery,linerz,accx,accy,accz,gravx,gravy,gravz,temps
1.25,81.88,-155.81,-0.58,-0.62,-0.32,-0.53,0.60,-0.62,9.17,1.17,-1.88,9.70,0.56,-1.25,28
1.81,81.50,-155.25,-0.62,-0.60,-0.32,-0.63,0.64,-0.64,9.06,1.24,-1.95,9.69,0.60,-1.31,28
2.44,81.13,-154.69,-0.64,-0.56,-0.33,-0.73,0.61,-0.32,9.02,1.35,-2.02,9.68,0.68,-1.40,28
3.06,80.81,-154.00,-0.64,-0.52,-0.35,-0.64,0.85,-0.20,9.02,1.58,-1.65,9.67,0.72,-1.44,28
4.25,80.13,-152.63,-0.52,-0.45,-0.37,-0.90,0.68,-0.02,8.75,1.45,-1.50,9.66,0.76,-1.48,28
4.69,79.88,-151.88,-0.44,-0.39,-0.38,-0.94,0.70,0.01,8.70,1.52,-1.50,9.65,0.81,-1.51,28
5.19,79.56,-151.13,-0.37,-0.33,-0.39,-0.84,0.70,0.09,8.82,1.55,-1.41,9.63,0.89,-1.57,28
5.63,79.38,-150.25,-0.29,-0.22,-0.41,-0.86,0.58,0.18,8.76,1.52,-1.40,9.63,0.93,-1.58,28
6.50,78.94,-148.44,-0.29,-0.17,-0.42,-0.65,0.64,0.07,8.96,1.62,-1.52,9.62,0.98,-1.60,28
7.00,78.69,-147.19,-0.31,-0.12,-0.43,-0.41,0.64,0.04,9.20,1.67,-1.56,9.61,1.03,-1.60,28
7.50,78.56,-146.00,-0.35,-0.05,-0.45,-0.16,0.66,0.01,9.60,1.82,-1.54,9.60,1.13,-1.60,28
8.56,78.31,-143.06,-0.43,0.11,-0.52,-0.06,0.64,0.14,9.53,1.83,-1.44,9.60,1.19,-1.58,28
9.13,78.19,-141.38,-0.42,0.19,-0.56,-0.07,0.57,0.13,9.52,1.82,-1.42,9.59,1.31,-1.53,28
9.50,78.06,-139.50,-0.39,0.26,-0.59,0.03,0.46,0.10,9.73,1.79,-1.32,9.59,1.37,-1.50,28
10.00,78.00,-137.56,-0.22,0.38,-0.61,0.21,0.27,0.17,9.80,1.70,-1.28,9.59,1.43,-1.46,28
10.81,77.81,-133.69,-0.08,0.41,-0.60,0.22,0.16,0.11,9.81,1.65,-1.30,9.58,1.54,-1.38,28
11.00,77.75,-131.94,0.08,0.44,-0.57,0.21,0.07,0.08,9.75,1.49,-1.42,9.58,1.58,-1.34,28
10.94,77.69,-130.31,0.24,0.45,-0.52,0.18,-0.15,-0.21,9.76,1.46,-1.53,9.58,1.62,-1.31,28
10.75,77.69,-127.81,0.51,0.43,-0.39,0.23,-0.23,-0.39,9.81,1.41,-1.68,9.58,1.65,-1.28,28
10.50,77.69,-126.88,0.61,0.40,-0.30,0.47,-0.20,-0.57,10.25,1.60,-1.88,9.58,1.68,-1.23,28
10.13,77.69,-126.13,0.69,0.36,-0.16,0.96,0.03,-0.65,10.54,1.72,-1.86,9.58,1.68,-1.20,28
9.19,77.81,-125.00,0.68,0.35,-0.11,1.18,0.10,-0.68,10.76,1.79,-1.87,9.58,1.69,-1.18,28
8.81,77.88,-124.56,0.62,0.34,-0.07,1.05,0.20,-0.48,10.47,1.90,-1.50,9.59,1.69,-1.14,28
8.50,77.94,-124.13,0.44,0.23,-0.03,0.71,0.21,-0.21,10.30,1.90,-1.34,9.59,1.68,-1.13,28
7.81,78.06,-123.69,0.32,0.15,-0.01,0.43,0.11,0.04,10.03,1.80,-1.07,9.59,1.68,-1.12,28
7.69,78.06,-123.69,0.20,0.05,0.00,0.25,0.03,0.15,9.85,1.72,-0.96,9.59,1.68,-1.12,28
7.63,78.06,-123.81,0.10,-0.04,0.02,0.05,-0.03,0.35,9.64,1.63,-0.78,9.59,1.67,-1.14,28
7.69,78.00,-124.75,-0.08,-0.23,0.05,0.01,-0.12,0.45,9.60,1.54,-0.70,9.59,1.67,-1.16,28
7.75,77.94,-125.44,-0.15,-0.31,0.07,0.03,-0.18,0.51,9.62,1.48,-0.66,9.59,1.66,-1.18,28
7.88,77.81,-126.19,-0.23,-0.37,0.08,-0.01,-0.20,0.58,9.57,1.45,-0.63,9.58,1.65,-1.25,28
8.06,77.75,-127.00,-0.30,-0.42,0.08,-0.47,-0.33,0.80,9.10,1.31,-0.48,9.57,1.65,-1.28,28
8.56,77.44,-128.69,-0.42,-0.49,0.06,-0.63,-0.37,0.81,8.93,1.28,-0.51,9.57,1.65,-1.32,28
8.88,77.31,-129.50,-0.45,-0.51,0.04,-0.72,-0.37,0.82,8.84,1.28,-0.54,9.56,1.65,-1.36,28
9.25,77.13,-130.25,-0.46,-0.53,0.01,-0.75,-0.37,0.73,8.80,1.31,-0.79,9.55,1.67,-1.45,28
9.56,76.94,-130.94,-0.38,-0.51,-0.06,-0.78,-0.38,0.57,8.75,1.29,-0.91,9.54,1.68,-1.49,28
10.19,76.50,-132.00,-0.30,-0.47,-0.09,-0.80,-0.35,0.39,8.72,1.33,-1.13,9.53,1.69,-1.53,28
10.44,76.31,-132.44,-0.20,-0.42,-0.12,-0.70,-0.32,0.31,8.82,1.38,-1.25,9.52,1.72,-1.59,28
10.63,76.13,-132.75,-0.09,-0.36,-0.14,-0.51,-0.29,0.03,8.99,1.44,-1.58,9.51,1.73,-1.62,28
10.81,75.75,-133.19,0.11,-0.21,-0.16,-0.40,-0.27,-0.25,9.09,1.47,-1.90,9.50,1.75,-1.64,28
10.75,75.69,-133.31,0.20,-0.13,-0.15,-0.35,-0.26,-0.36,9.15,1.49,-2.02,9.49,1.77,-1.67,28
10.69,75.56,-133.31,0.25,-0.06,-0.13,-0.24,-0.23,-0.44,9.46,1.61,-2.35,9.49,1.77,-1.67,28
10.56,75.56,-133.31,0.25,0.08,-0.07,0.07,-0.12,-0.65,9.56,1.64,-2.32,9.49,1.77,-1.67,28
10.31,75.56,-133.06,0.21,0.13,-0.04,0.13,-0.09,-0.69,9.63,1.68,-2.36,9.50,1.77,-1.65,28
10.19,75.63,-132.88,0.13,0.18,-0.01,0.16,-0.07,-0.65,9.63,1.69,-2.19,9.50,1.77,-1.63,28
9.94,75.75,-132.56,0.05,0.22,0.03,0.08,-0.06,-0.47,9.59,1.70,-2.08,9.51,1.76,-1.60,28
9.88,76.00,-131.88,-0.12,0.26,0.08,0.09,-0.06,-0.42,9.61,1.70,-2.00,9.51,1.76,-1.58,28
9.94,76.13,-131.50,-0.19,0.26,0.11,0.14,0.00,-0.26,9.63,1.76,-1.71,9.52,1.74,-1.52,28
9.94,76.25,-131.06,-0.29,0.25,0.14,0.00,-0.02,-0.11,9.54,1.71,-1.61,9.53,1.73,-1.49,28
9.88,76.56,-130.31,-0.31,0.24,0.15,-0.06,-0.01,-0.04,9.47,1.71,-1.51,9.53,1.73,-1.47,28
9.94,76.75,-130.00,-0.33,0.22,0.15,-0.12,0.00,0.07,9.42,1.70,-1.27,9.55,1.71,-1.42,28
10.06,76.88,-129.69,-0.33,0.17,0.15,-0.15,-0.02,0.16,9.40,1.67,-1.23,9.55,1.70,-1.39,28
10.25,77.13,-129.19,-0.32,0.14,0.15,-0.06,0.00,0.20,9.49,1.70,-1.17,9.56,1.69,-1.38,28
10.38,77.19,-129.00,-0.31,0.12,0.13,0.00,0.03,0.22,9.56,1.71,-1.13,9.56,1.67,-1.35,28
10.50,77.25,-128.81,-0.30,0.10,0.11,-0.02,0.01,0.24,9.54,1.69,-1.09,9.56,1.67,-1.33,28
10.69,77.38,-128.38,-0.22,0.08,0.06,-0.04,0.04,0.27,9.52,1.72,-1.05,9.57,1.67,-1.32,28
10.69,77.44,-128.19,-0.15,0.06,0.03,-0.06,0.01,0.24,9.51,1.68,-1.07,9.57,1.67,-1.31,28
10.75,77.44,-128.06,-0.07,0.04,0.01,-0.09,0.02,0.20,9.47,1.69,-1.10,9.57,1.67,-1.30,28
10.75,77.50,-128.00,0.01,0.02,0.00,0.04,0.03,0.03,9.61,1.70,-1.26,9.57,1.66,-1.30,28
10.69,77.50,-128.06,0.14,-0.01,-0.01,0.10,0.08,-0.04,9.68,1.74,-1.35,9.57,1.66,-1.31,28
10.19,77.44,-128.25,0.17,-0.02,-0.01,0.17,0.08,-0.15,9.74,1.74,-1.47,9.57,1.66,-1.31,28
10.13,77.44,-128.38,0.17,-0.02,-0.01,0.17,0.04,-0.23,9.74,1.71,-1.55,9.57,1.66,-1.32,28
10.00,77.44,-128.50,0.15,-0.01,-0.00,0.17,0.06,-0.25,9.74,1.72,-1.58,9.57,1.66,-1.32,28
9.88,77.44,-128.56,0.08,0.02,0.01,0.18,0.07,-0.26,9.75,1.74,-1.58,9.57,1.66,-1.32,28
9.69,77.50,-128.56,0.04,0.04,0.01,0.18,0.06,-0.23,9.75,1.72,-1.55,9.57,1.65,-1.32,28
9.69,77.50,-128.44,0.02,0.07,0.02,0.15,0.05,-0.19,9.71,1.68,-1.40,9.57,1.65,-1.30,28
9.63,77.56,-128.31,-0.00,0.09,0.03,0.18,0.02,-0.04,9.76,1.67,-1.34,9.57,1.65,-1.29,28
9.56,77.69,-127.94,0.00,0.15,0.04,0.21,0.03,0.05,9.79,1.67,-1.23,9.58,1.64,-1.28,28
9.44,77.75,-127.69,0.01,0.16,0.05,0.19,0.03,0.14,9.78,1.67,-1.12,9.58,1.64,-1.26,28
9.38,77.81,-127.44,0.01,0.17,0.05,0.12,-0.01,0.23,9.64,1.60,-0.96,9.59,1.63,-1.23,28
9.31,77.94,-127.19,0.02,0.17,0.05,0.04,-0.06,0.29,9.63,1.56,-0.92,9.59,1.62,-1.22,28
9.25,78.06,-126.75,0.00,0.14,0.05,0.03,-0.07,0.28,9.62,1.54,-0.92,9.59,1.62,-1.21,28
9.13,78.13,-126.56,0.01,0.11,0.05,0.05,-0.08,0.31,9.64,1.53,-0.89,9.59,1.61,-1.20,28
9.13,78.19,-126.50,0.02,0.09,0.05,0.04,-0.08,0.26,9.64,1.50,-0.91,9.60,1.60,-1.18,28
9.06,78.25,-126.38,0.07,0.05,0.04,-0.01,-0.13,0.27,9.59,1.46,-0.90,9.60,1.60,-1.17,28
8.81,78.31,-126.38,0.12,0.04,0.05,0.00,-0.12,0.23,9.60,1.46,-0.94,9.60,1.59,-1.17,28
8.44,78.38,-126.44,0.15,0.03,0.05,0.03,-0.10,0.21,9.63,1.48,-0.95,9.60,1.58,-1.17,28
