orix,oriy,oriz,gyrox,gyroy,gyroz,linerx,linery,linerz,accx,accy,accz,gravx,gravy,gravz,temps
82.38,-8.75,177.75,0.52,-0.48,0.33,-0.26,-1.01,-0.10,-1.81,-1.43,-9.77,-1.54,-0.42,-9.67,28
82.75,-9.25,177.25,0.48,-0.42,0.33,-0.33,-1.00,0.01,-1.97,-1.54,-9.58,-1.62,-0.49,-9.65,28
82.94,-9.50,177.00,0.43,-0.37,0.33,-0.28,-1.08,0.22,-1.93,-1.61,-9.42,-1.65,-0.52,-9.65,28
83.00,-9.69,176.81,0.32,-0.34,0.35,-0.09,-1.08,0.17,-1.77,-1.63,-9.46,-1.68,-0.55,-9.64,28
83.38,-10.06,176.56,0.27,-0.33,0.38,0.15,-1.06,0.11,-1.56,-1.63,-9.52,-1.72,-0.57,-9.63,28
83.63,-10.31,176.50,0.21,-0.34,0.40,0.66,-0.86,-0.12,-1.12,-1.45,-9.74,-1.79,-0.59,-9.62,28
83.88,-10.50,176.44,0.11,-0.40,0.48,0.74,-0.82,-0.16,-1.08,-1.41,-9.78,-1.83,-0.59,-9.61,28
84.38,-11.00,176.44,0.06,-0.46,0.50,0.80,-0.86,-0.10,-1.07,-1.45,-9.71,-1.87,-0.58,-9.60,28
84.69,-11.31,176.50,0.01,-0.53,0.51,0.75,-0.91,0.18,-1.29,-1.61,-9.14,-1.99,-0.56,-9.58,28
85.25,-12.06,176.69,-0.09,-0.63,0.55,0.48,-1.14,0.69,-1.56,-1.69,-8.88,-2.05,-0.54,-9.57,28
85.50,-12.44,176.81,-0.14,-0.63,0.54,0.89,-1.69,0.79,-1.21,-2.22,-8.76,-2.11,-0.52,-9.56,28
85.81,-12.75,177.00,-0.18,-0.60,0.52,-0.09,-1.26,1.02,-2.21,-1.82,-8.96,-2.22,-0.46,-9.53,28
86.06,-13.13,177.19,-0.24,-0.59,0.50,0.13,-1.47,0.59,-2.15,-1.90,-8.92,-2.28,-0.42,-9.52,28
86.56,-13.75,177.75,-0.42,-0.58,0.52,0.18,-1.91,0.27,-2.15,-2.28,-9.23,-2.34,-0.37,-9.51,28
86.81,-14.06,178.06,-0.50,-0.55,0.52,-0.21,-2.15,0.03,-2.60,-2.46,-9.47,-2.39,-0.31,-9.50,28
87.06,-14.38,178.44,-0.55,-0.53,0.51,0.01,-2.05,-0.18,-2.45,-2.29,-10.26,-2.49,-0.18,-9.48,28
87.25,-14.69,178.88,-0.66,-0.51,0.49,0.22,-2.14,-0.90,-2.31,-2.26,-10.37,-2.54,-0.11,-9.47,28
87.69,-15.25,179.75,-0.71,-0.51,0.46,0.42,-2.24,-1.02,-2.15,-2.28,-10.47,-2.58,-0.03,-9.45,28
87.88,-15.56,-179.69,-0.75,-0.52,0.41,0.42,-2.44,-1.24,-2.74,-2.58,-11.03,-2.68,0.12,-9.43,28
88.00,-15.81,-179.25,-0.77,-0.51,0.38,-0.17,-2.88,-1.54,-2.90,-2.68,-10.96,-2.72,0.20,-9.41,28
88.31,-16.38,-178.25,-0.77,-0.47,0.32,0.08,-3.03,-1.36,-2.67,-2.75,-10.76,-2.80,0.35,-9.38,28
88.38,-16.63,-177.81,-0.74,-0.42,0.24,0.32,-2.99,-1.14,-2.28,-2.19,-10.64,-2.83,0.41,-9.37,28
88.38,-16.81,-177.44,-0.69,-0.35,0.10,0.72,-2.17,-1.49,-2.13,-1.69,-10.85,-2.86,0.47,-9.36,28
88.13,-17.13,-176.69,-0.69,-0.32,-0.18,0.93,-2.01,-1.70,-1.95,-1.47,-11.05,-2.89,0.53,-9.35,28
87.88,-17.38,-176.38,-0.71,-0.36,-0.33,1.41,-2.05,-1.58,-1.56,-1.56,-10.44,-2.96,0.64,-9.32,28
87.56,-17.63,-176.06,-0.69,-0.43,-0.65,1.20,-2.15,-0.61,-1.80,-1.47,-9.92,-3.01,0.68,-9.30,28
86.63,-18.13,-175.50,-0.68,-0.43,-0.79,1.09,10.99,18.19,-1.96,11.72,8.90,-3.05,0.72,-9.29,28
86.00,-18.31,-175.38,-0.63,-0.29,-1.03,9.23,5.20,2.02,-2.54,8.70,-6.32,-3.13,0.69,-9.26,28
85.44,-18.63,-175.69,1.06,-0.79,-1.28,2.09,0.34,-0.06,-1.12,0.90,-9.31,-3.21,0.56,-9.24,28
84.19,-19.75,-177.50,1.48,-1.03,-1.17,-3.94,-5.78,3.97,-7.26,-5.38,-5.25,-3.31,0.39,-9.22,28
83.75,-20.31,-178.44,1.34,-0.97,-0.98,-3.58,-5.18,2.75,-6.99,-4.94,-6.43,-3.47,0.13,-9.17,28
83.44,-20.69,-179.13,0.94,-0.73,-0.83,-0.54,-0.58,-0.39,-4.06,-0.53,-9.54,-3.52,0.04,-9.15,28
82.88,-21.38,179.81,0.59,-0.60,-0.54,0.19,-0.21,-0.67,-3.38,-0.23,-9.80,-3.57,-0.02,-9.13,28
82.56,-21.75,179.38,0.64,-0.75,-0.47,0.20,-0.24,-0.40,-3.43,-0.33,-9.51,-3.64,-0.09,-9.10,28
82.38,-22.25,178.88,0.67,-0.92,-0.48,0.52,-0.42,0.09,-3.48,-1.35,-8.80,-3.80,-0.24,-9.03,28
82.13,-22.81,178.44,0.58,-0.99,-0.59,0.09,-1.06,-0.22,-3.79,-1.38,-9.22,-3.89,-0.31,-8.99,28
81.56,-23.88,177.50,0.52,-0.93,-0.62,-0.29,-1.07,-1.16,-4.26,-1.46,-10.12,-3.97,-0.38,-8.95,28
81.13,-24.31,177.06,0.47,-0.85,-0.63,-1.43,-0.99,-2.11,-5.48,-1.44,-11.03,-4.10,-0.51,-8.89,28
80.88,-24.75,176.63,0.44,-0.79,-0.63,-2.37,-0.43,-2.04,-6.53,-1.01,-10.90,-4.16,-0.57,-8.85,28
80.19,-25.44,175.88,0.36,-0.64,-0.63,-2.78,-0.18,-1.52,-6.99,-0.82,-10.35,-4.21,-0.63,-8.83,28
79.94,-25.69,175.50,0.34,-0.51,-0.58,-2.62,-0.11,-1.33,-6.66,-0.94,-10.04,-4.28,-0.73,-8.78,28
79.50,-25.88,175.19,0.34,-0.37,-0.54,-2.38,-0.21,-1.25,-6.35,-1.15,-9.87,-4.30,-0.78,-8.77,28
79.25,-26.00,174.88,0.32,-0.11,-0.43,-1.53,-0.50,-0.45,-5.84,-1.33,-9.22,-4.30,-0.83,-8.76,28
78.88,-26.00,174.31,0.26,-0.01,-0.40,-1.32,-0.51,-0.10,-5.34,-1.31,-8.58,-4.29,-0.90,-8.76,28
78.69,-25.94,174.06,0.19,0.08,-0.40,-0.68,-0.44,0.31,-4.96,-1.37,-8.45,-4.28,-0.93,-8.77,28
78.44,-25.88,173.94,0.01,0.14,-0.50,-0.56,-0.22,0.19,-4.82,-1.17,-8.58,-4.26,-0.95,-8.77,28
77.88,-25.63,173.69,-0.09,0.11,-0.50,-0.54,0.02,0.30,-4.87,-0.71,-8.18,-4.23,-0.96,-8.79,28
77.63,-25.56,173.69,-0.28,0.06,-0.41,-0.46,0.63,0.98,-4.69,-0.32,-7.81,-4.22,-0.96,-8.79,28
77.06,-25.50,173.81,-0.34,0.02,-0.38,-0.31,0.79,0.92,-4.54,-0.15,-7.87,-4.22,-0.94,-8.79,28
76.81,-25.44,173.94,-0.40,-0.01,-0.35,-0.22,0.76,0.65,-4.44,-0.15,-8.14,-4.22,-0.92,-8.80,28
76.63,-25.44,174.13,-0.45,-0.04,-0.32,-0.22,0.68,0.00,-4.45,-0.18,-8.81,-4.22,-0.86,-8.80,28
76.25,-25.56,174.56,-0.51,-0.10,-0.13,-0.21,0.55,0.14,-4.44,-0.27,-8.66,-4.23,-0.83,-8.80,28
76.13,-25.63,174.81,-0.50,-0.11,-0.03,-0.23,0.37,0.28,-4.47,-0.41,-8.51,-4.24,-0.78,-8.80,28
76.13,-25.69,175.13,-0.48,-0.11,0.04,-0.33,0.28,0.31,-4.53,-0.48,-8.59,-4.26,-0.70,-8.80,28
76.06,-25.75,175.38,-0.45,-0.10,0.07,-0.27,0.09,0.15,-4.54,-0.57,-8.65,-4.27,-0.66,-8.80,28
76.13,-25.81,175.88,-0.40,-0.08,0.13,-0.34,-0.14,0.22,-4.61,-0.76,-8.57,-4.27,-0.62,-8.80,28
76.13,-25.88,176.13,-0.36,-0.07,0.18,-0.30,-0.27,0.28,-4.59,-0.86,-8.51,-4.28,-0.58,-8.80,28
76.25,-25.94,176.38,-0.32,-0.07,0.23,-0.21,-0.39,0.36,-4.49,-0.97,-8.36,-4.29,-0.51,-8.79,28
76.38,-25.94,176.63,-0.21,-0.04,0.27,-0.04,-0.61,0.40,-4.35,-1.10,-8.39,-4.30,-0.48,-8.79,28
76.63,-26.00,176.94,-0.17,-0.03,0.27,0.04,-0.72,0.33,-4.25,-1.18,-8.45,-4.30,-0.46,-8.79,28
76.63,-26.06,177.13,-0.14,-0.03,0.28,0.08,-0.72,0.21,-4.22,-1.16,-8.58,-4.31,-0.41,-8.79,28
76.75,-26.06,177.25,-0.11,-0.02,0.29,0.11,-0.59,0.19,-4.19,-0.98,-8.60,-4.31,-0.39,-8.79,28
77.06,-26.13,177.50,-0.09,-0.01,0.29,0.04,-0.63,0.26,-4.27,-1.00,-8.53,-4.31,-0.37,-8.79,28
77.19,-26.13,177.56,-0.09,-0.01,0.30,0.04,-0.70,0.25,-4.27,-1.07,-8.54,-4.32,-0.36,-8.79,28
77.31,-26.13,177.56,-0.07,0.00,0.33,0.05,-0.76,0.20,-4.34,-1.10,-8.58,-4.32,-0.36,-8.79,28
77.50,-26.13,177.56,-0.01,0.09,0.35,-0.09,-0.74,0.20,-4.41,-1.12,-8.59,-4.31,-0.37,-8.79,28
77.81,-26.06,177.50,0.03,0.15,0.33,-0.08,-0.63,0.20,-4.39,-1.01,-8.59,-4.30,-0.37,-8.80,28
77.94,-25.94,177.44,0.06,0.20,0.26,0.00,-0.60,0.14,-4.16,-0.99,-8.73,-4.27,-0.40,-8.81,28
78.06,-25.81,177.38,0.08,0.23,0.18,0.11,-0.59,0.07,-4.02,-1.00,-8.74,-4.25,-0.41,-8.82,28
78.13,-25.69,177.31,0.08,0.21,0.08,0.53,-0.40,0.16,-3.70,-0.82,-8.66,-4.23,-0.41,-8.83,28
78.25,-25.50,177.25,0.07,0.18,0.08,0.51,-0.41,0.21,-3.57,-0.88,-8.70,-4.21,-0.42,-8.84,28
78.31,-25.44,177.25,0.06,0.12,0.09,0.70,-0.30,0.11,-3.50,-0.72,-8.72,-4.21,-0.41,-8.84,28
78.38,-25.38,177.25,0.05,-0.03,0.21,0.42,-0.13,0.19,-3.79,-0.55,-8.64,-4.21,-0.41,-8.84,28
78.63,-25.50,177.31,0.03,-0.07,0.26,0.00,-0.04,0.29,-4.22,-0.45,-8.54,-4.22,-0.39,-8.83,28
78.81,-25.50,177.44,0.01,-0.07,0.29,-0.65,0.20,-0.10,-4.88,-0.18,-8.93,-4.23,-0.38,-8.83,28
78.94,-25.56,177.50,0.03,-0.06,0.27,-0.52,0.23,-0.17,-4.77,-0.14,-9.00,-4.24,-0.37,-8.83,28
79.31,-25.63,177.56,0.04,-0.06,0.24,-0.57,0.16,-0.15,-4.82,-0.20,-8.98,-4.24,-0.37,-8.83,28
79.44,-25.69,177.63,0.05,-0.05,0.24,-0.38,0.12,-0.14,-4.54,-0.34,-9.06,-4.25,-0.35,-8.82,28
79.56,-25.69,177.63,0.04,-0.05,0.27,-0.23,-0.10,-0.24,-4.50,-0.45,-9.07,-4.26,-0.35,-8.82,28
80.00,-25.75,177.75,0.01,-0.01,0.34,-0.52,0.00,0.00,-4.79,-0.33,-8.83,-4.26,-0.33,-8.82,28
80.19,-25.81,177.88,0.01,-0.01,0.34,-0.77,-0.07,0.11,-5.04,-0.40,-8.70,-4.26,-0.31,-8.82,28
80.44,-25.75,177.94,0.01,0.07,0.37,-0.87,-0.03,0.21,-5.12,-0.33,-8.61,-4.25,-0.29,-8.83,28
80.81,-25.50,178.13,0.05,0.28,0.34,-0.59,-0.02,0.07,-4.82,-0.31,-8.76,-4.22,-0.28,-8.84,28
81.00,-25.31,178.19,0.05,0.34,0.32,-0.43,-0.14,0.11,-4.63,-0.42,-8.74,-4.20,-0.27,-8.85,28
81.19,-25.13,178.25,0.04,0.37,0.32,-0.38,-0.29,0.12,-4.38,-0.65,-8.69,-4.13,-0.26,-8.88,28
81.38,-24.94,178.31,0.04,0.40,0.33,-0.09,-0.35,0.10,-4.19,-0.60,-8.79,-4.10,-0.24,-8.90,28
81.81,-24.44,178.44,0.02,0.42,0.38,-0.04,-0.37,0.14,-4.11,-0.61,-8.77,-4.06,-0.23,-8.92,28
82.06,-24.19,178.56,0.00,0.46,0.41,0.30,-0.19,-0.04,-3.72,-0.41,-8.98,-4.02,-0.22,-8.93,28
82.31,-23.94,178.69,0.02,0.49,0.45,-0.18,-0.62,0.18,-4.12,-0.75,-8.69,-3.94,-0.19,-8.97,28
82.56,-23.69,178.75,0.07,0.52,0.44,-0.06,-0.47,0.39,-3.96,-0.65,-8.60,-3.89,-0.18,-8.99,28
83.06,-23.13,178.88,0.07,0.52,0.40,0.08,-0.52,0.67,-3.77,-0.70,-8.33,-3.85,-0.17,-9.01,28
83.31,-22.81,178.94,0.07,0.51,0.37,0.18,-0.59,0.57,-3.62,-0.76,-8.45,-3.76,-0.15,-9.05,28
83.50,-22.56,179.00,0.07,0.50,0.33,0.46,-0.72,0.48,-3.25,-0.87,-8.58,-3.72,-0.15,-9.07,28
83.88,-22.06,179.06,0.04,0.46,0.28,0.14,-0.67,0.20,-3.54,-0.82,-8.88,-3.68,-0.14,-9.08,28
84.00,-21.81,179.13,0.02,0.41,0.30,0.31,-0.69,0.71,-2.94,-0.90,-8.30,-3.61,-0.12,-9.11,28
84.25,-21.63,179.19,0.02,0.38,0.35,0.66,-0.78,0.80,-3.05,-0.65,-8.26,-3.58,-0.11,-9.12,28
84.44,-21.38,179.25,0.05,0.40,0.40,0.59,-0.51,0.61,-2.95,-0.61,-8.53,-3.54,-0.10,-9.14,28
84.88,-20.94,179.38,0.04,0.36,0.38,0.48,-0.58,0.83,-2.97,-0.74,-8.40,-3.48,-0.08,-9.16,28
85.06,-20.81,179.44,0.02,0.29,0.33,0.79,-0.90,0.87,-2.67,-0.97,-8.29,-3.47,-0.07,-9.17,28
85.25,-20.69,179.50,-0.05,0.11,0.23,1.02,-0.95,0.83,-2.43,-1.02,-8.34,-3.46,-0.06,-9.17,28
85.44,-20.63,179.63,-0.08,0.04,0.19,0.99,-0.85,0.77,-2.46,-0.90,-8.40,-3.46,-0.03,-9.17,28
85.50,-20.63,179.75,-0.12,-0.03,0.14,0.77,-0.60,1.00,-2.68,-0.62,-8.16,-3.46,-0.01,-9.17,28
85.56,-20.69,179.88,-0.17,-0.15,0.05,0.52,-0.66,0.87,-2.95,-0.66,-8.29,-3.48,0.00,-9.16,28
85.56,-20.88,-179.88,-0.18,-0.21,0.03,0.38,-0.56,0.86,-3.11,-0.55,-8.29,-3.50,0.01,-9.16,28
85.56,-21.00,-179.75,-0.18,-0.23,0.02,0.37,-0.39,1.19,-3.19,-0.29,-7.94,-3.54,0.04,-9.14,28
85.56,-21.13,-179.69,-0.14,-0.20,0.02,0.25,-0.23,1.11,-3.30,-0.17,-8.02,-3.55,0.06,-9.13,28
85.56,-21.38,-179.50,-0.13,-0.18,0.03,0.09,-0.26,0.86,-3.48,-0.19,-8.26,-3.57,0.07,-9.13,28
85.63,-21.44,-179.44,-0.10,-0.15,0.03,-0.01,-0.22,0.83,-3.59,-0.14,-8.29,-3.59,0.08,-9.12,28
85.63,-21.50,-179.38,-0.08,-0.12,0.02,-0.11,-0.34,0.67,-3.72,-0.25,-8.44,-3.60,0.09,-9.11,28
85.56,-21.56,-179.38,-0.03,-0.07,-0.01,-0.28,-0.46,0.58,-3.89,-0.36,-8.53,-3.61,0.09,-9.11,28
85.56,-21.63,-179.38,-0.01,-0.03,-0.03,-0.28,-0.44,0.48,-3.89,-0.35,-8.63,-3.61,0.09,-9.11,28
