orix,oriy,oriz,gyrox,gyroy,gyroz,linerx,linery,linerz,accx,accy,accz,gravx,gravy,gravz,temps
156.38,-63.50,162.38,-8.89,-7.77,8.23,2.17,0.59,2.77,-6.60,-0.73,-1.39,-9.12,-0.27,-3.57,28
143.88,-68.50,175.63,-8.76,-7.61,8.33,3.14,-0.32,2.61,-6.19,0.42,-0.28,-9.34,0.75,-2.89,28
122.63,-73.69,-140.69,-8.31,-7.33,8.63,2.58,0.27,2.92,-6.83,2.01,0.79,-9.41,1.74,-2.12,28
113.69,-72.38,-115.88,-8.08,-7.24,8.73,2.28,-0.68,3.18,-7.09,2.38,2.46,-9.14,3.51,-0.42,28
105.69,-68.81,-96.81,-7.86,-7.14,8.79,2.88,-2.06,3.11,-5.92,2.21,3.59,-8.81,4.28,0.47,28
92.00,-58.38,-74.25,-7.43,-7.00,8.77,3.26,-2.49,2.54,-5.08,2.44,3.93,-8.35,4.94,1.39,28
86.13,-52.56,-67.19,-7.20,-7.02,8.71,3.88,-2.62,2.13,-3.48,3.07,4.89,-7.12,5.93,3.19,28
80.88,-46.56,-61.63,-6.75,-7.05,8.62,3.48,-2.92,2.23,-2.88,3.33,6.29,-6.36,6.25,4.05,28
71.44,-34.31,-53.06,-6.53,-7.03,8.63,2.99,-2.77,2.02,-2.53,3.69,6.89,-5.53,6.47,4.86,28
67.19,-28.19,-49.50,-6.29,-7.03,8.63,2.89,-2.50,1.89,-0.39,4.24,8.10,-3.68,6.57,6.27,28
63.13,-22.00,-46.31,-5.78,-7.07,8.55,3.42,-2.60,1.49,0.73,3.87,8.35,-2.69,6.47,6.85,28
55.75,-9.81,-40.44,-5.50,-7.14,8.48,3.38,-3.09,1.01,1.71,3.18,8.36,-1.67,6.27,7.34,28
52.31,-3.75,-37.75,-5.17,-7.23,8.40,3.38,-3.52,0.60,4.61,1.49,7.78,0.37,5.63,8.01,28
49.06,2.19,-35.06,-4.83,-7.36,8.33,3.78,-3.80,-0.86,5.18,1.40,7.32,1.40,5.20,8.18,28
42.75,14.13,-29.81,-4.16,-7.65,8.15,3.25,-3.50,-1.24,5.65,1.21,7.00,2.40,4.72,8.24,28
39.75,20.06,-27.06,-3.86,-7.86,7.98,2.64,-3.32,-1.93,6.01,0.87,6.25,3.37,4.19,8.19,28
36.88,26.00,-24.31,-3.60,-8.09,7.72,1.49,-3.07,-2.14,5.72,0.31,5.59,5.17,3.02,7.75,28
34.13,31.81,-21.31,-3.20,-8.57,7.09,-0.40,-2.23,-2.01,5.58,0.17,5.36,5.99,2.41,7.37,28
29.00,43.38,-14.50,-3.02,-8.81,6.74,-1.17,-2.14,-2.08,5.56,-0.35,4.81,7.40,1.16,6.31,28
26.63,49.00,-10.44,-2.86,-9.06,6.39,-2.03,-1.75,-2.14,5.26,-0.08,3.83,7.99,0.56,5.64,28
24.31,54.63,-5.63,-2.68,-9.56,5.60,-3.17,0.36,-1.63,5.32,0.34,3.25,8.49,-0.02,4.89,28
20.06,65.25,8.06,-2.72,-9.77,5.17,-3.07,1.03,-0.83,5.83,0.45,3.22,9.21,-1.09,3.17,28
18.13,69.94,18.94,-2.83,-9.88,4.75,-3.16,1.22,-0.16,6.29,0.26,2.73,9.41,-1.56,2.23,28
16.38,73.81,34.94,-2.98,-9.94,4.38,-3.91,1.80,0.53,5.59,-0.18,1.80,9.51,-1.99,1.27,28
13.13,75.88,83.06,-3.37,-9.92,3.80,-4.07,2.38,0.99,5.44,0.02,1.28,9.40,-2.68,-0.70,28
11.69,73.50,104.63,-3.63,-9.83,3.60,-3.77,3.29,1.78,5.41,0.33,0.09,9.19,-2.95,-1.68,28
10.31,69.69,119.63,-4.23,-9.51,3.46,-2.70,3.58,1.87,6.19,0.41,-0.76,8.89,-3.17,-2.64,28
7.88,60.13,136.81,-4.49,-9.22,3.56,-0.93,4.39,2.49,7.57,1.05,-1.06,8.50,-3.33,-3.55,28
6.56,55.06,141.94,-4.68,-8.82,3.78,-1.47,3.87,2.26,6.04,0.34,-2.96,7.51,-3.52,-5.22,28
4.00,44.88,149.31,-5.01,-8.27,4.01,2.35,2.72,0.81,9.27,-0.81,-5.15,6.92,-3.53,-5.97,28
2.88,40.00,152.44,-5.26,-7.97,3.99,-0.70,-1.19,1.05,5.59,-4.67,-5.60,6.30,-3.47,-6.66,28
62.81,35.25,155.75,-5.87,-7.73,3.59,-2.25,-6.52,-1.63,2.90,-7.46,-9.91,5.02,-2.96,-7.87,28
64.94,30.81,159.31,-6.50,-7.39,3.11,-2.39,-3.44,-2.54,1.98,-6.02,-10.92,4.38,-2.57,-8.38,28
68.94,22.44,166.19,-6.44,-6.86,3.06,0.27,-2.41,-2.13,4.02,-4.58,-10.93,3.74,-2.16,-8.80,28
70.94,18.50,169.13,-5.92,-6.60,3.18,2.31,-0.60,-7.29,5.43,-2.35,-16.42,3.11,-1.75,-9.13,28
72.81,14.88,171.56,-5.05,-6.12,3.21,0.59,-1.87,-7.62,1.47,-4.07,-13.86,2.00,-1.08,-9.53,28
76.25,9.38,175.19,-3.48,-4.06,2.79,-6.10,-2.90,-0.97,-4.49,-3.71,-10.61,1.60,-0.80,-9.64,28
77.63,7.75,176.75,-3.21,-2.79,2.38,-4.33,-2.53,-0.09,-3.00,-3.07,-9.79,1.16,-0.29,-9.73,28
