orix,oriy,oriz,gyrox,gyroy,gyroz,linerx,linery,linerz,accx,accy,accz,gravx,gravy,gravz,temp
82.88,81.69,9.44,-0.15,0.40,0.59,1.18,-0.88,0.74,10.59,-0.81,2.24,9.69,-0.28,1.42,26
82.25,80.75,13.50,-0.04,0.37,0.16,1.47,-0.96,0.42,10.93,-1.69,2.03,9.67,-0.37,1.55,26
82.44,80.44,11.75,-0.14,0.03,-0.22,0.40,-0.95,0.41,10.07,-1.28,2.00,9.67,-0.30,1.58,26
83.63,81.13,7.25,-0.09,-0.40,-0.51,-0.22,-0.25,0.42,9.46,-0.44,1.91,9.69,-0.19,1.49,26
84.56,81.94,1.63,-0.01,-0.32,-0.51,0.04,0.33,0.53,9.75,0.34,1.87,9.71,0.00,1.34,26
85.44,82.31,-4.88,-0.03,0.05,-0.13,0.33,0.59,0.56,10.05,0.72,1.87,9.71,0.12,1.31,26
85.44,82.00,-3.88,-0.10,0.22,0.22,-0.04,0.26,0.26,9.74,0.32,1.77,9.70,0.06,1.38,26
84.81,81.44,1.88,-0.05,0.23,0.40,0.19,0.07,0.30,9.88,0.02,1.75,9.69,-0.08,1.46,26
84.00,81.13,6.75,0.01,0.07,0.30,-0.05,-0.28,0.06,9.63,-0.46,1.56,9.68,-0.17,1.49,26
83.56,81.00,9.75,-0.04,0.02,0.16,-0.24,-0.31,0.00,9.44,-0.57,1.51,9.68,-0.26,1.51,26
83.38,80.88,11.06,-0.04,0.03,0.04,-0.11,-0.23,0.28,9.56,-0.54,1.80,9.68,-0.30,1.52,25
83.31,80.69,11.63,-0.00,0.03,-0.01,-0.07,-0.11,0.41,9.69,-0.42,2.01,9.67,-0.31,1.55,25
83.31,80.63,11.25,0.04,-0.03,-0.03,-0.06,0.09,0.33,9.64,-0.18,1.88,9.67,-0.30,1.56,25
83.25,80.69,11.00,0.06,-0.05,0.00,-0.01,-0.11,-0.01,9.68,-0.42,1.54,9.67,-0.30,1.55,25
83.06,80.75,11.31,0.09,-0.07,0.02,-0.72,1.49,1.08,8.76,1.59,0.97,9.68,-0.30,1.53,25
82.31,80.63,9.94,0.52,0.17,-0.00,-1.54,0.27,-1.48,8.13,0.00,0.08,9.67,-0.27,1.56,25
81.69,80.13,8.75,0.22,0.48,-0.06,-0.49,-0.69,0.00,9.15,-0.93,1.70,9.65,-0.24,1.70,25
81.94,79.13,6.63,-0.21,0.31,-0.08,-4.14,-0.40,0.22,5.48,-0.64,2.05,9.63,-0.23,1.82,25
81.50,80.13,16.69,-0.61,-1.06,1.07,-4.48,2.23,2.83,5.19,1.62,4.32,9.67,-0.61,1.48,25
77.44,77.75,41.50,-0.67,1.86,3.89,4.67,1.80,-1.24,7.95,-2.24,7.19,9.52,-1.65,1.64,25
75.63,77.81,48.63,0.56,-0.64,-0.33,-8.41,1.02,-1.06,1.16,-0.52,0.30,9.58,-1.55,1.36,25
73.56,76.94,45.63,0.61,0.29,-0.26,-3.27,-1.18,0.23,6.28,-2.76,1.78,9.55,-1.58,1.54,25
73.19,77.00,44.88,-0.03,-0.03,0.08,-0.97,-0.30,-0.13,8.57,-1.87,1.42,9.55,-1.56,1.55,25
73.00,77.00,45.13,0.02,0.06,-0.03,-0.05,0.00,0.43,9.50,-1.55,1.98,9.55,-1.55,1.55,25
73.06,77.06,44.56,0.01,0.02,-0.03,0.16,0.09,0.43,9.72,-1.44,1.99,9.55,-1.54,1.56,25
73.06,77.06,44.69,-0.01,-0.02,0.02,0.02,-0.09,0.16,9.58,-1.63,1.72,9.55,-1.54,1.55,25
73.06,77.00,44.63,0.01,0.01,-0.01,0.06,-0.01,0.18,9.55,-1.54,1.76,9.55,-1.54,1.56,25
72.94,77.00,44.50,-0.00,-0.00,0.00,0.03,0.05,0.21,9.53,-1.51,1.75,9.55,-1.54,1.56,25
72.75,77.00,44.44,-0.00,-0.01,0.00,0.03,-0.02,0.22,9.62,-1.57,1.76,9.55,-1.54,1.57,25
72.75,77.00,44.38,0.00,0.00,-0.00,0.05,0.00,0.20,9.61,-1.55,1.77,9.55,-1.54,1.57,25
72.63,76.94,44.25,-0.00,0.00,-0.00,0.02,-0.01,0.22,9.57,-1.55,1.80,9.55,-1.54,1.57,25
72.50,76.94,44.19,-0.00,-0.00,-0.00,0.00,0.01,0.13,9.56,-1.52,1.71,9.55,-1.54,1.58,25
