orix,oriy,oriz,gyrox,gyroy,gyroz,linerx,linery,linerz,accx,accy,accz,gravx,gravy,gravz,temp
80.88,75.88,47.06,-0.00,0.00,0.00,-0.07,0.08,0.01,9.43,-1.66,1.64,9.51,-1.75,1.62,27
80.88,75.88,47.06,-0.00,0.00,0.00,-0.07,0.09,0.01,9.43,-1.65,1.64,9.51,-1.75,1.62,27
80.88,75.88,47.06,-0.00,0.00,-0.00,-0.07,0.09,0.03,9.43,-1.65,1.64,9.51,-1.75,1.62,27
80.88,75.88,47.06,-0.00,0.00,0.00,-0.07,0.08,0.03,9.43,-1.65,1.64,9.51,-1.75,1.62,27
80.88,75.88,47.06,0.00,0.00,0.00,-0.08,0.07,0.01,9.43,-1.67,1.64,9.51,-1.75,1.62,27
80.88,75.88,47.06,-0.00,0.00,0.00,-0.07,0.10,0.01,9.43,-1.64,1.64,9.51,-1.75,1.62,27
80.88,75.88,47.06,-0.00,0.00,0.00,-0.06,0.09,0.02,9.44,-1.65,1.65,9.51,-1.75,1.62,27
80.88,75.88,47.06,-0.00,0.00,0.00,-0.08,0.07,0.04,9.43,-1.67,1.67,9.51,-1.75,1.62,27
80.88,75.88,47.06,-0.00,0.00,0.00,-0.08,0.12,0.00,9.43,-1.63,1.63,9.51,-1.75,1.62,27
80.88,75.88,47.06,-0.00,0.00,0.00,-0.09,0.08,0.00,9.41,-1.66,1.62,9.51,-1.75,1.62,27
80.88,75.88,47.06,0.00,0.00,-0.00,-0.09,0.09,0.01,9.41,-1.65,1.64,9.51,-1.75,1.62,27
80.88,75.88,47.06,0.00,0.00,0.00,-0.08,0.08,0.00,9.42,-1.66,1.63,9.51,-1.75,1.62,27
80.88,75.88,47.06,0.00,0.00,0.00,-0.06,0.08,0.00,9.42,-1.66,1.63,9.51,-1.75,1.62,27
80.88,75.88,47.06,0.00,-0.00,0.00,-0.08,0.10,-0.01,9.43,-1.67,1.66,9.51,-1.75,1.62,27
80.88,75.88,47.06,-0.00,-0.00,-0.00,-0.06,0.09,0.00,9.43,-1.66,1.61,9.51,-1.75,1.62,27
80.88,75.88,47.06,0.00,-0.00,0.00,-0.06,0.07,0.00,9.43,-1.67,1.60,9.51,-1.75,1.62,27
80.88,75.88,47.06,0.00,0.00,0.00,-0.08,0.07,-0.01,9.42,-1.67,1.61,9.51,-1.75,1.62,27
80.88,75.88,47.06,0.00,0.00,0.00,-0.08,0.07,0.02,9.42,-1.67,1.65,9.51,-1.75,1.62,27
80.88,75.88,47.06,0.00,-0.00,-0.00,-0.07,0.11,-0.01,9.43,-1.64,1.61,9.51,-1.75,1.62,27
80.88,75.88,47.06,0.00,-0.00,0.00,-0.08,0.07,-0.01,9.42,-1.67,1.60,9.51,-1.75,1.62,27
80.88,75.88,47.06,0.00,0.00,0.00,-0.08,0.10,-0.01,9.42,-1.64,1.61,9.51,-1.75,1.62,27
80.88,75.88,47.06,0.00,0.00,0.00,-0.09,0.09,0.01,9.41,-1.65,1.64,9.51,-1.75,1.62,27
80.88,75.88,47.06,0.00,-0.00,0.00,-0.06,0.07,0.00,9.44,-1.67,1.63,9.51,-1.75,1.62,27
80.88,75.88,47.06,0.00,0.00,-0.00,-0.07,0.10,-0.02,9.41,-1.64,1.63,9.51,-1.75,1.62,27
80.88,75.88,47.06,-0.00,-0.00,0.00,-0.09,0.10,0.05,9.43,-1.64,1.61,9.51,-1.75,1.62,27
80.88,75.88,47.06,-0.00,-0.00,0.00,-0.09,0.07,0.01,9.42,-1.64,1.61,9.51,-1.75,1.62,27
80.88,75.88,47.06,0.00,0.00,0.00,-0.05,0.07,0.02,9.45,-1.67,1.65,9.51,-1.75,1.62,27
80.88,75.88,47.06,0.00,0.00,0.00,-0.10,0.12,-0.01,9.40,-1.63,1.61,9.51,-1.75,1.62,27
80.88,75.88,47.06,0.00,0.00,0.00,-0.08,0.08,-0.02,9.43,-1.66,1.59,9.51,-1.75,1.62,27
80.88,75.88,47.06,0.00,0.00,0.00,-0.09,0.10,0.00,9.41,-1.64,1.63,9.51,-1.75,1.62,27
80.88,75.88,47.06,0.00,0.00,0.00,-0.04,0.08,0.02,9.46,-1.66,1.65,9.51,-1.75,1.62,27
