orix,oriy,oriz,gyrox,gyroy,gyroz,linerx,linery,linerz,accx,accy,accz,gravx,gravy,gravz,temp
322.31,78.50,63.00,-0.05,0.04,0.03,0.03,-0.29,-0.09,9.64,-2.03,0.79,9.60,-1.74,0.88,27
322.06,78.38,62.88,-0.08,0.06,-0.01,-0.04,-0.22,0.01,9.56,-1.97,0.91,9.60,-1.75,0.90,27
322.13,78.38,62.50,0.02,0.04,-0.03,-0.04,-0.13,-0.08,9.56,-1.88,0.82,9.60,-1.75,0.91,27
322.00,78.38,62.13,0.04,0.02,-0.00,-0.08,-0.11,-0.09,9.52,-1.86,0.82,9.60,-1.74,0.92,27
322.00,78.31,61.94,0.01,0.03,0.01,0.16,-0.14,-0.02,9.77,-1.89,0.90,9.60,-1.74,0.93,27
321.81,78.31,61.75,0.03,0.02,-0.01,-0.01,-0.09,0.00,9.58,-1.84,0.94,9.60,-1.75,0.93,27
321.31,78.25,61.75,0.07,0.00,0.04,0.00,-0.11,0.00,9.59,-1.88,0.92,9.60,-1.76,0.94,27
321.06,78.06,61.81,0.02,0.03,0.07,-0.17,-0.11,0.07,9.42,-1.89,1.02,9.59,-1.77,0.95,27
320.75,77.81,61.94,0.07,0.03,0.12,-0.23,-0.14,-0.01,9.35,-1.96,0.95,9.58,-1.81,0.96,27
320.31,77.63,62.00,0.11,0.02,0.07,0.27,-0.35,-0.05,9.85,-2.20,0.92,9.57,-1.85,0.98,27
319.88,77.56,61.88,0.03,0.02,0.02,0.08,-0.27,0.05,9.65,-2.14,1.05,9.57,-1.86,0.99,27
319.81,77.44,61.75,0.02,0.02,0.02,0.07,-0.16,0.14,9.60,-2.05,1.15,9.57,-1.87,1.00,27
319.63,77.38,61.69,0.09,-0.02,0.02,-0.16,-0.07,0.16,9.40,-1.95,1.17,9.57,-1.87,1.00,27
319.13,77.31,61.88,0.03,-0.01,0.05,0.00,-0.19,0.06,9.56,-2.08,1.07,9.56,-1.89,1.01,27
318.94,77.19,62.13,-0.06,0.00,0.03,0.03,-0.23,0.06,9.59,-2.15,1.07,9.56,-1.91,1.01,27
318.88,77.13,62.38,-0.02,-0.02,0.02,-0.05,-0.22,0.02,9.50,-2.15,1.03,9.56,-1.93,1.00,27
318.81,77.13,62.75,0.00,-0.04,0.00,0.00,-0.22,0.00,9.51,-2.16,0.99,9.56,-1.94,0.99,27
318.50,77.19,63.06,0.04,-0.07,-0.05,-0.07,-0.14,0.01,9.55,-2.07,0.94,9.56,-1.92,0.97,27
318.44,77.38,63.31,0.04,-0.06,-0.08,-0.19,-0.12,-0.03,9.30,-1.96,0.91,9.57,-1.90,0.95,27
318.38,77.50,63.38,0.01,-0.02,-0.03,-0.19,-0.08,0.04,9.38,-1.97,0.98,9.57,-1.88,0.94,27
318.38,77.50,62.81,-0.03,0.09,-0.03,0.07,-0.18,0.00,9.65,-2.06,0.95,9.57,-1.88,0.96,27
318.50,77.44,62.19,-0.07,0.09,-0.03,0.02,-0.12,-0.03,9.59,-1.99,0.95,9.57,-1.87,0.99,27
318.69,77.44,61.63,-0.02,0.05,-0.04,0.08,-0.06,-0.07,9.66,-1.93,0.93,9.57,-1.86,1.01,27
318.75,77.56,61.50,0.05,-0.06,-0.06,0.03,-0.06,-0.04,9.61,-1.91,0.95,9.57,-1.84,0.99,27
318.69,77.75,61.75,0.07,-0.06,-0.03,-0.01,-0.07,-0.04,9.60,-1.90,0.93,9.58,-1.83,0.97,27
318.63,77.75,62.00,0.00,-0.02,0.02,0.00,-0.07,-0.03,9.57,-1.90,0.93,9.58,-1.83,0.97,27
318.63,77.69,62.00,-0.03,0.04,0.03,0.06,-0.08,-0.01,9.65,-1.93,0.96,9.58,-1.84,0.97,27
318.63,77.56,61.69,-0.00,0.05,0.02,0.07,-0.07,0.01,9.65,-1.93,1.01,9.57,-1.85,0.99,27
318.56,77.50,61.50,0.02,0.03,0.02,-0.09,-0.03,0.01,9.47,-1.89,1.03,9.57,-1.86,1.01,27
318.44,77.44,61.38,0.06,0.01,0.02,-0.05,-0.06,-0.03,9.52,-1.97,1.02,9.57,-1.87,1.02,27
318.25,77.44,61.31,0.10,-0.02,-0.01,-0.03,-0.12,0.01,9.51,-1.97,1.02,9.57,-1.86,1.02,27
