orix,oriy,oriz,gyrox,gyroy,gyroz,linerx,linery,linerz,accx,accy,accz,gravx,gravy,gravz,temps
10.06,-1.88,3.38,0.03,-0.02,0.00,0.13,-0.07,0.00,-0.18,-0.65,9.78,-0.32,-0.58,9.78,27
10.06,-1.88,3.38,0.03,-0.01,-0.00,0.07,0.01,0.02,-0.24,-0.57,9.81,-0.32,-0.58,9.78,27
10.06,-1.88,3.38,0.03,-0.00,0.00,0.09,0.02,0.00,-0.23,-0.55,9.78,-0.32,-0.57,9.78,27
10.06,-1.88,3.31,0.02,0.00,0.00,0.09,0.03,0.01,-0.26,-0.53,9.80,-0.32,-0.57,9.78,27
10.06,-1.88,3.31,0.00,0.01,-0.00,0.09,0.02,0.02,-0.23,-0.54,9.81,-0.32,-0.57,9.78,27
10.06,-1.88,3.31,0.00,0.02,-0.00,0.10,-0.02,-0.03,-0.22,-0.60,9.75,-0.32,-0.57,9.78,27
10.06,-1.88,3.31,-0.01,0.02,0.00,0.03,0.00,0.00,-0.28,-0.57,9.78,-0.32,-0.57,9.78,27
10.06,-1.88,3.31,-0.02,0.02,-0.00,0.05,0.00,-0.01,-0.27,-0.57,9.76,-0.32,-0.57,9.78,27
10.06,-1.88,3.38,-0.02,0.02,-0.00,0.06,0.00,0.00,-0.26,-0.58,9.78,-0.33,-0.57,9.78,27
10.06,-1.94,3.38,-0.02,0.03,-0.00,0.04,-0.02,0.02,-0.33,-0.60,9.79,-0.33,-0.58,9.78,27
10.06,-1.94,3.38,-0.02,0.03,-0.00,0.01,-0.03,0.00,-0.32,-0.61,9.78,-0.33,-0.58,9.78,27
10.06,-1.94,3.44,-0.02,0.02,-0.00,0.01,-0.08,-0.01,-0.32,-0.67,9.77,-0.34,-0.59,9.78,27
10.06,-2.00,3.44,-0.02,0.02,-0.00,-0.01,-0.12,0.00,-0.39,-0.74,9.74,-0.34,-0.59,9.78,27
10.06,-2.00,3.44,-0.01,0.01,0.00,-0.07,-0.13,0.03,-0.41,-0.72,9.81,-0.34,-0.59,9.78,27
10.06,-2.00,3.44,0.00,-0.00,-0.00,0.02,-0.10,-0.02,-0.29,-0.64,9.77,-0.34,-0.59,9.78,27
10.06,-2.00,3.44,0.01,-0.01,0.00,0.03,-0.01,0.02,-0.31,-0.60,9.80,-0.34,-0.59,9.78,27
10.06,-2.00,3.44,0.01,-0.01,0.00,0.04,0.00,0.00,-0.29,-0.58,9.78,-0.34,-0.59,9.78,27
10.06,-2.00,3.44,0.00,-0.00,0.00,0.01,0.02,0.01,-0.33,-0.60,9.77,-0.34,-0.59,9.78,27
10.06,-2.00,3.44,-0.01,-0.00,0.00,0.05,-0.06,-0.01,-0.28,-0.65,9.76,-0.34,-0.59,9.78,27
10.06,-2.00,3.44,-0.00,0.00,0.00,0.06,-0.04,0.04,-0.28,-0.63,9.82,-0.34,-0.59,9.78,27
10.06,-2.00,3.44,-0.00,0.00,-0.00,0.03,-0.05,0.01,-0.31,-0.64,9.79,-0.34,-0.59,9.78,27
10.06,-2.00,3.44,0.00,0.01,0.00,0.04,-0.08,0.00,-0.30,-0.67,9.77,-0.34,-0.59,9.78,27
10.06,-2.00,3.44,0.01,0.00,0.00,0.01,-0.06,0.03,-0.32,-0.65,9.79,-0.34,-0.59,9.78,27
10.06,-2.00,3.44,0.01,0.00,0.00,0.02,-0.04,0.01,-0.32,-0.63,9.79,-0.34,-0.59,9.78,27
10.06,-2.00,3.44,0.01,0.00,-0.00,0.00,-0.04,-0.01,-0.33,-0.58,9.78,-0.34,-0.59,9.78,27
10.06,-2.00,3.44,0.01,-0.00,0.00,0.04,0.01,0.01,-0.30,-0.57,9.79,-0.34,-0.59,9.78,27
10.06,-2.00,3.44,-0.00,-0.01,0.00,0.02,0.07,-0.03,-0.32,-0.51,9.74,-0.34,-0.59,9.78,27
10.06,-2.00,3.44,-0.01,-0.00,0.00,0.09,-0.10,0.00,-0.25,-0.64,9.78,-0.34,-0.59,9.78,27
10.06,-2.00,3.44,-0.00,0.00,-0.00,0.06,-0.06,0.01,-0.28,-0.65,9.79,-0.34,-0.59,9.78,27
10.06,-2.00,3.44,-0.00,0.00,0.00,0.00,-0.09,0.01,-0.28,-0.67,9.79,-0.34,-0.59,9.78,27
10.06,-2.00,3.44,0.00,0.00,0.00,0.02,-0.06,0.01,-0.32,-0.65,9.79,-0.34,-0.59,9.78,27
10.06,-2.00,3.44,0.01,0.00,-0.00,0.00,-0.07,-0.02,-0.34,-0.66,9.76,-0.34,-0.58,9.78,27
10.06,-2.00,3.44,0.01,0.00,0.00,0.03,0.01,0.00,-0.31,-0.57,9.77,-0.34,-0.58,9.78,27
10.06,-2.00,3.44,0.01,-0.01,0.00,0.00,0.02,0.00,-0.34,-0.56,9.78,-0.34,-0.58,9.78,27
10.06,-2.00,3.44,0.00,0.00,0.00,0.03,0.00,0.02,-0.31,-0.59,9.80,-0.34,-0.58,9.78,27
10.06,-2.00,3.44,-0.00,-0.01,0.00,0.05,-0.03,0.02,-0.28,-0.62,9.80,-0.34,-0.58,9.78,27
10.06,-2.00,3.44,-0.00,-0.00,-0.00,0.03,-0.07,0.00,-0.30,-0.66,9.77,-0.34,-0.58,9.78,27
10.06,-2.00,3.44,-0.00,0.00,-0.00,0.03,-0.07,0.03,-0.32,-0.67,9.80,-0.34,-0.58,9.78,27
10.06,-2.00,3.44,0.00,-0.00,0.00,-0.01,-0.08,0.00,-0.35,-0.67,9.78,-0.34,-0.58,9.78,27
10.06,-2.00,3.44,0.01,-0.00,-0.00,-0.01,-0.07,0.00,-0.35,-0.66,9.78,-0.34,-0.58,9.78,27
10.06,-2.00,3.38,0.01,-0.01,0.00,0.02,0.00,0.04,-0.31,-0.59,9.82,-0.34,-0.58,9.78,27
