orix,oriy,oriz,gyrox,gyroy,gyroz,linerx,linery,linerz,accx,accy,accz,gravx,gravy,gravz,temp
353.94,83.56,-2.19,0.02,0.02,-0.05,-0.20,0.27,-0.15,9.53,0.66,0.87,9.74,0.38,1.02,28
353.94,83.50,-2.25,0.02,0.01,-0.02,0.14,0.18,-0.41,9.89,0.57,0.61,9.74,0.39,1.03,28
354.00,83.44,-2.31,-0.00,0.00,0.01,-0.37,0.20,-0.19,9.36,0.60,0.84,9.74,0.39,1.03,28
354.00,83.50,-2.31,0.00,-0.01,-0.01,-0.18,0.33,-0.21,9.55,0.74,0.81,9.74,0.40,1.03,28
354.06,83.50,-2.38,0.00,-0.00,-0.03,-0.17,0.48,-0.22,9.57,0.90,0.79,9.74,0.42,1.02,28
354.25,83.44,-2.50,0.00,-0.00,0.00,-0.08,0.15,-0.17,9.66,0.58,0.84,9.74,0.43,1.02,28
354.50,83.50,-2.50,-0.00,0.01,-0.01,-0.24,0.25,-0.22,9.51,0.66,0.81,9.74,0.43,1.01,28
354.56,83.50,-2.56,0.00,-0.00,-0.00,-0.19,0.24,-0.17,9.55,0.66,0.86,9.74,0.44,1.01,28
354.63,83.50,-2.63,0.00,0.00,-0.00,-0.20,0.22,-0.15,9.54,0.68,0.85,9.74,0.45,1.00,28
354.81,83.50,-2.69,0.00,-0.00,-0.00,-0.19,0.20,-0.18,9.54,0.66,0.81,9.74,0.46,1.00,28
354.88,83.50,-2.75,-0.00,0.00,0.00,-0.17,0.23,-0.14,9.57,0.70,0.85,9.74,0.47,0.99,28
354.88,83.50,-2.75,0.00,0.00,-0.00,-0.16,0.19,-0.14,9.57,0.66,0.84,9.74,0.47,0.99,28
354.94,83.50,-2.81,0.00,0.00,0.00,-0.18,0.21,-0.14,9.55,0.69,0.84,9.74,0.48,0.98,28
354.94,83.50,-2.81,0.00,0.00,0.00,-0.17,0.15,-0.14,9.57,0.65,0.83,9.74,0.49,0.98,28
355.00,83.50,-2.88,0.00,-0.00,-0.00,-0.20,0.18,-0.11,9.54,0.67,0.86,9.74,0.49,0.98,28
355.00,83.50,-2.94,0.00,0.00,0.00,-0.28,0.08,-0.02,9.45,0.58,0.95,9.74,0.50,0.97,28
355.06,83.50,-2.94,0.00,0.00,0.00,-0.20,0.10,-0.01,9.52,0.62,1.00,9.74,0.50,0.97,28
355.06,83.50,-2.94,-0.00,0.00,-0.00,-0.16,0.17,-0.12,9.58,0.68,0.84,9.74,0.51,0.97,28
355.19,83.56,-3.00,0.00,-0.00,0.02,-0.16,0.11,-0.05,9.58,0.63,0.91,9.74,0.51,0.96,28
355.25,83.56,-3.00,0.00,-0.00,0.00,-0.17,0.15,-0.09,9.56,0.66,0.87,9.74,0.51,0.96,28
355.25,83.56,-3.00,0.00,0.00,-0.01,-0.17,0.13,-0.16,9.56,0.66,0.80,9.74,0.52,0.96,28
355.56,83.50,-3.06,-0.00,0.00,0.00,-0.19,0.28,-0.16,9.54,0.81,0.79,9.74,0.53,0.96,28
355.75,83.50,-3.06,-0.11,0.00,-0.00,-0.21,-0.26,0.26,9.52,0.26,1.22,9.74,0.53,0.96,28
355.88,83.50,-3.13,-0.03,0.00,-0.03,-0.15,-0.48,-0.32,9.59,0.05,0.64,9.74,0.53,0.96,28
355.94,83.50,-3.13,0.02,-0.02,0.01,-0.10,0.44,-0.81,9.64,0.99,0.14,9.74,0.54,0.95,28
355.69,83.63,-3.06,0.04,-0.07,0.08,0.30,0.34,-0.75,10.05,0.81,0.07,9.74,0.51,0.93,28
355.31,84.31,-2.56,-0.09,-0.31,0.32,1.52,-0.73,-2.53,11.28,-0.29,-1.67,9.76,0.40,0.82,28
354.81,85.63,-1.75,-0.09,-0.58,0.32,3.13,-0.73,-2.07,12.91,-0.42,-1.39,9.78,0.28,0.62,28
355.25,86.69,-1.94,-0.16,-0.68,-0.35,1.99,-1.15,-1.73,11.78,-0.82,-1.29,9.79,0.38,0.37,28
357.88,86.19,-3.56,-0.29,-0.67,-0.95,0.61,-0.89,-2.64,10.39,-0.28,-2.45,9.78,0.70,0.12,28
1.06,84.25,-5.69,-0.52,-0.40,-0.89,-1.33,-0.20,-2.66,8.42,0.77,-2.66,9.75,0.97,0.00,28
3.31,83.13,-92.56,-0.77,-0.12,-0.46,-0.81,0.13,-1.99,8.91,1.34,-2.04,9.73,1.21,-0.05,28
6.06,82.25,-91.25,-0.85,0.03,-0.32,0.04,-0.17,-1.85,9.76,1.17,-1.86,9.71,1.34,-0.01,28
8.81,81.50,-87.69,-0.94,0.10,-0.36,-0.04,-0.50,-1.90,9.65,0.96,-1.82,9.69,1.47,0.07,28
11.94,80.81,-85.13,-1.08,0.00,-0.27,-0.15,-0.68,-1.45,9.44,0.94,-1.17,9.67,1.57,0.14,28
14.69,80.38,-83.13,-1.09,-0.00,-0.12,-0.22,-0.62,-0.96,9.44,0.99,-0.76,9.66,1.62,0.19,28
17.31,80.19,-80.69,-1.06,-0.00,-0.11,-0.07,-0.74,-0.66,9.58,0.89,-0.39,9.66,1.64,0.26,28
19.81,79.94,-78.38,-1.05,0.05,-0.08,-0.21,-0.90,-0.57,9.44,0.77,-0.22,9.65,1.67,0.34,28
22.00,79.88,-74.38,-1.08,0.15,0.01,-0.12,-1.03,-0.26,9.53,0.61,0.19,9.65,1.65,0.46,28
23.75,79.69,-71.69,-0.99,0.22,-0.21,-0.29,-1.13,0.39,9.34,0.54,0.98,9.64,1.67,0.58,28
26.25,78.81,-67.19,-0.93,0.38,-0.31,0.00,-0.59,0.55,9.60,1.16,1.33,9.61,1.76,0.77,28
28.75,78.19,-62.75,-1.19,0.26,-0.19,-1.65,-1.72,0.41,7.93,0.06,1.37,9.59,1.78,0.95,28
31.38,77.81,-59.13,-1.21,0.19,-0.01,0.32,0.13,-0.82,9.49,0.99,0.19,9.58,1.75,1.11,28
33.75,77.44,-54.13,-1.23,0.18,-0.08,0.38,-0.85,-0.90,9.96,0.87,0.34,9.56,1.72,1.27,28
36.56,77.00,-52.50,-1.19,-0.02,-0.28,0.80,-1.36,0.30,10.35,0.37,1.64,9.55,1.74,1.33,28
38.75,76.44,-52.00,-1.05,0.07,-0.50,0.19,-1.15,-0.34,9.71,0.68,1.08,9.52,1.83,1.43,28
42.19,75.50,-53.00,-1.18,-0.25,-0.66,-0.55,-1.19,-0.41,8.92,0.80,1.06,9.48,2.00,1.47,28
45.94,74.81,-55.69,-1.20,-0.42,-0.58,-0.26,-1.04,-0.26,9.19,1.10,1.16,9.45,2.15,1.43,28
49.56,74.31,-58.19,-1.18,-0.39,-0.50,-0.35,-1.16,-0.42,9.32,1.12,1.04,9.43,2.27,1.38,28
53.00,73.81,-59.63,-1.24,-0.32,-0.43,0.19,-1.14,0.09,9.62,1.21,1.61,9.41,2.37,1.37,28
56.63,73.31,-60.63,-1.34,-0.40,-0.49,0.59,-1.35,0.23,10.04,1.09,1.60,9.38,2.48,1.36,28
60.94,72.50,-63.06,-1.42,-0.50,-0.81,0.39,-1.34,0.65,9.48,1.37,1.95,9.33,2.68,1.32,28
66.00,71.06,-65.50,-1.41,-0.47,-0.95,-0.58,-1.20,0.98,8.69,1.68,2.30,9.27,2.89,1.31,28
69.88,70.50,-66.69,-1.35,-0.50,-0.22,-0.16,-0.38,0.99,9.08,2.61,2.28,9.24,2.99,1.29,28
72.38,70.63,-67.06,-1.39,-0.61,-0.20,0.43,-0.78,0.83,9.68,2.21,2.07,9.25,2.99,1.24,28
75.69,70.69,-68.38,-1.22,-0.57,-0.16,0.39,-1.02,0.91,9.66,1.98,2.09,9.26,3.00,1.18,28
77.81,71.06,-67.69,-1.02,-0.28,0.00,0.55,-1.29,0.76,10.08,1.42,1.83,9.28,2.92,1.20,28
79.75,71.25,-66.75,-0.91,-0.14,-0.05,0.43,-1.04,1.08,9.72,1.85,2.32,9.28,2.89,1.24,28
81.63,71.13,-66.00,-0.85,-0.17,-0.08,0.14,-0.55,0.73,9.42,2.33,2.01,9.28,2.88,1.28,28
83.63,71.25,-66.00,-0.89,-0.39,-0.11,0.20,-0.31,0.88,9.49,2.56,2.16,9.28,2.87,1.27,28
85.94,71.25,-67.13,-0.83,-0.41,-0.20,-0.42,-0.05,1.47,8.86,2.84,2.69,9.28,2.90,1.22,28
87.88,71.25,-67.63,-0.78,-0.23,-0.01,0.11,0.31,0.46,9.40,3.22,1.66,9.28,2.90,1.19,28
88.94,71.38,-66.63,-0.80,0.00,0.02,-0.09,-1.02,1.18,9.20,1.83,2.44,9.29,2.86,1.26,28
90.25,71.50,-64.75,-0.70,0.03,0.20,-2.23,-2.81,2.24,7.08,-0.05,3.57,9.31,2.76,1.32,28
89.00,73.06,-60.50,-0.30,0.56,1.25,-0.58,1.42,0.30,7.67,3.14,1.55,9.40,2.34,1.50,28
86.56,74.50,-47.56,-0.89,0.44,1.26,0.07,2.24,-1.44,9.52,4.17,0.31,9.46,1.81,1.78,28
86.81,75.69,-41.38,-0.88,-0.05,0.33,0.49,-0.69,-0.27,10.00,0.90,1.53,9.50,1.59,1.81,28
87.94,75.75,-40.56,-0.61,-0.09,-0.29,0.49,-0.17,1.94,10.00,1.40,3.77,9.50,1.58,1.82,28
89.69,75.25,-42.38,-0.31,-0.00,-0.51,0.12,0.00,2.45,9.60,1.71,4.29,9.47,1.71,1.84,28
91.25,74.38,-44.88,-0.09,0.11,-0.57,-0.37,0.15,0.32,9.05,2.07,2.20,9.43,1.91,1.88,28
92.69,73.31,-47.63,-0.09,-0.01,-0.63,-0.81,0.48,0.21,8.67,2.84,2.21,9.38,2.13,1.89,28
94.31,72.31,-50.94,-0.06,-0.11,-0.68,-0.79,1.15,0.09,8.44,3.52,1.85,9.33,2.36,1.86,28
96.06,71.38,-54.13,-0.21,-0.17,-0.61,-0.93,1.22,-0.04,8.35,3.76,1.78,9.28,2.58,1.82,28
97.88,70.69,-56.06,-0.39,-0.16,-0.40,-0.42,1.40,-0.09,8.83,4.09,1.70,9.25,2.70,1.80,28
99.50,70.19,-56.81,-0.39,-0.03,-0.33,0.09,2.01,0.15,9.32,4.79,1.97,9.22,2.77,1.81,28
100.44,69.69,-57.00,-0.20,0.07,-0.34,-0.22,1.50,-0.05,8.96,4.38,1.81,9.18,2.87,1.86,28
101.31,69.00,-57.44,-0.02,0.04,-0.29,-0.61,1.12,-0.19,8.53,4.10,1.68,9.15,2.98,1.88,28
101.75,68.69,-58.56,0.12,-0.10,-0.16,-0.36,0.79,-0.30,8.76,3.84,1.54,9.13,3.05,1.84,28
101.81,68.50,-59.63,0.15,-0.05,-0.09,-0.33,0.35,-0.26,8.77,3.48,1.52,9.12,3.10,1.80,28
101.75,68.44,-60.19,0.09,-0.04,-0.05,-0.08,0.23,-0.69,9.03,3.35,1.09,9.12,3.12,1.78,28
101.81,68.38,-60.69,0.01,-0.06,-0.08,0.14,0.41,-0.93,9.26,3.56,0.83,9.11,3.14,1.76,28
102.06,68.31,-61.13,0.01,-0.02,-0.07,-0.25,0.55,-0.56,8.85,3.72,1.17,9.11,3.17,1.74,28
102.06,68.25,-61.25,0.05,-0.00,0.01,0.03,0.20,-0.43,9.14,3.38,1.30,9.11,3.18,1.74,28
102.06,68.19,-61.44,0.07,0.01,-0.05,0.31,0.06,-0.42,9.42,3.25,1.31,9.10,3.19,1.73,28
102.19,68.06,-62.00,0.04,-0.08,-0.16,0.05,0.26,-0.28,9.14,3.51,1.42,9.09,3.25,1.70,28
102.63,67.81,-63.38,0.05,-0.07,-0.17,-0.04,0.34,-0.61,9.03,3.68,1.02,9.07,3.33,1.63,28
103.06,67.50,-64.44,0.04,-0.08,-0.17,-0.09,0.36,-0.34,8.96,3.76,1.24,9.05,3.40,1.59,28
103.50,67.19,-65.81,0.06,-0.04,-0.13,-0.04,0.45,-0.40,9.09,3.94,1.11,9.03,3.48,1.54,28
103.81,66.94,-66.75,0.03,-0.01,-0.08,0.18,0.48,-0.28,9.20,4.01,1.22,9.02,3.53,1.51,28
104.13,66.69,-67.31,-0.03,-0.01,-0.12,0.55,0.85,-0.54,9.56,4.43,0.94,9.00,3.57,1.49,28
104.50,66.38,-67.50,-0.02,0.01,-0.23,0.85,1.47,-0.04,9.83,5.12,1.45,8.97,3.64,1.50,28
105.13,65.81,-68.13,0.04,-0.12,-0.35,0.66,2.79,-0.15,9.59,6.55,1.32,8.93,3.75,1.47,28
106.00,65.31,-70.00,0.05,-0.38,-0.31,2.51,4.77,-0.34,11.42,8.64,1.01,8.90,3.86,1.36,28
106.81,64.75,-72.19,0.11,-0.20,-0.48,3.60,5.13,-0.51,12.46,9.16,0.74,8.85,4.02,1.26,28
108.19,63.44,-73.13,-0.02,0.07,-0.67,4.59,2.71,0.11,13.33,6.96,1.38,8.74,4.24,1.27,28
109.69,61.81,-73.63,0.06,0.06,-0.86,4.68,2.42,-0.19,13.07,6.93,1.08,8.60,4.52,1.29,28
111.88,59.50,-75.19,0.22,-0.00,-1.23,4.38,1.27,0.09,12.83,6.08,1.36,8.38,4.91,1.25,28
114.38,56.38,-76.94,0.43,0.12,-1.55,4.66,0.52,0.30,12.83,5.80,1.52,8.16,5.28,1.22,28
116.69,53.63,-78.31,0.43,0.10,-1.73,3.94,-0.50,-0.09,11.74,5.32,1.06,7.79,5.83,1.16,28
119.94,50.13,-79.69,-0.27,-0.40,-1.34,5.00,-2.20,-0.36,12.46,4.06,0.74,7.45,6.27,1.10,28
125.00,47.31,-80.75,-0.78,-0.91,-1.59,3.77,-3.08,1.07,10.88,3.58,2.13,7.11,6.66,1.05,28
130.44,44.06,-81.88,-0.28,-0.64,-1.57,3.23,-6.08,1.96,9.96,0.98,2.93,6.72,7.07,0.96,28
133.75,40.50,-83.25,0.68,0.27,-1.74,3.61,-7.23,0.04,9.82,0.34,0.34,6.23,7.52,0.84,28
136.75,35.56,-84.50,0.97,0.81,-2.46,2.27,-7.12,-0.26,7.43,0.84,0.76,5.49,8.08,0.73,28
141.06,29.13,-86.00,0.99,0.54,-3.06,1.03,-7.40,0.37,5.52,1.26,0.79,4.50,8.69,0.53,28
147.44,21.69,-87.88,0.71,-0.09,-3.52,0.23,-8.45,0.11,3.86,0.65,0.45,3.30,9.22,0.27,28
156.63,13.25,-89.38,0.38,-0.75,-3.97,0.02,-8.43,0.79,2.28,1.10,0.88,2.25,9.54,0.09,28
164.88,6.44,-90.06,0.20,-0.91,-4.17,0.30,-8.74,0.97,1.01,1.03,0.92,0.70,9.78,-0.04,28
176.38,-3.06,-90.56,0.22,-0.82,-4.43,0.01,-9.68,0.70,-0.93,0.07,0.58,-0.94,9.76,-0.11,28
187.94,-13.00,-91.06,0.36,-0.57,-4.54,0.26,-9.54,0.11,-2.36,-0.10,-0.08,-2.63,9.44,-0.20,28
199.69,-23.56,-91.94,0.54,-0.26,-4.93,-0.39,-9.64,0.18,-5.73,-0.70,-0.19,-4.36,8.77,-0.34,28
212.13,-35.19,-93.44,0.56,-0.04,-5.42,-4.42,-8.70,-1.62,-11.25,-0.29,-2.38,-6.07,7.68,-0.51,28
225.44,-47.56,-94.94,0.36,-0.17,-5.63,-9.98,-5.42,-2.19,-18.86,1.51,-2.71,-7.58,6.18,-0.58,28
237.06,-58.56,-96.44,0.16,-0.16,-4.31,-14.35,-2.08,-1.28,-22.99,3.38,-1.56,-8.54,4.77,-0.57,28
243.31,-64.63,-98.19,0.04,0.21,-1.80,-13.58,0.14,-0.56,-22.56,3.83,-1.33,-8.90,4.04,-0.63,28
244.25,-65.94,-100.75,-0.14,0.50,-0.14,-14.94,-0.18,-2.20,-23.89,3.74,-2.94,-8.95,3.92,-0.74,28
241.94,-64.25,-100.56,-0.28,-0.01,1.39,-16.76,0.51,-0.37,-25.60,4.70,-1.15,-8.83,4.18,-0.78,28
234.81,-57.81,-96.69,-0.45,-0.40,3.98,-13.44,-2.57,-0.28,-21.74,2.60,-0.89,-8.06,5.54,-0.55,28
222.69,-46.38,-93.25,-0.65,-0.21,5.70,-7.73,-7.43,-0.97,-14.84,-0.68,-1.35,-6.70,7.14,-0.33,28
208.69,-33.25,-91.13,-0.68,-0.06,5.95,-7.10,-8.95,-0.57,-12.48,-0.76,-0.73,-5.38,8.19,-0.16,28
194.88,-19.81,-89.69,-0.46,-0.16,6.34,-9.09,-8.89,-1.28,-12.42,0.32,-1.24,-3.33,9.22,0.04,28
183.69,-8.19,-88.75,-0.76,-0.69,7.68,-6.87,-10.30,-0.38,-7.54,-0.52,-0.09,-0.67,9.77,0.29,28
168.06,9.31,-86.88,-0.73,-0.75,7.62,-1.64,-10.51,-0.61,0.66,-0.99,-0.04,2.30,9.51,0.57,28
153.00,25.88,-85.63,-0.40,-0.37,7.30,-3.76,-10.25,-0.50,1.13,-1.78,0.17,4.89,8.47,0.68,28
137.88,42.00,-84.44,-0.36,-0.36,7.29,-5.38,-9.09,-0.51,1.31,-2.04,0.02,7.06,6.76,0.70,28
122.69,58.19,-82.38,-0.31,-0.35,7.28,-7.42,-6.52,-0.60,1.25,-2.00,0.06,8.67,4.52,0.66,28
107.38,74.19,-76.75,-0.26,-0.33,7.27,-8.35,-3.98,-0.52,1.24,-2.05,0.05,9.59,1.92,0.58,28
91.88,86.94,0.69,-0.21,-0.32,7.25,-8.59,-1.91,-0.50,1.18,-2.08,0.00,9.76,-0.81,0.47,28
76.13,73.06,82.38,-0.16,-0.29,7.23,-8.24,0.72,-0.40,1.13,-2.10,-0.02,9.16,-3.48,0.34,28
60.13,57.13,87.19,-0.13,-0.27,7.22,-7.22,3.17,-0.29,1.01,-2.13,-0.03,8.23,-5.31,0.25,28
47.94,45.13,88.44,-0.09,-0.26,7.23,-5.63,5.22,-0.18,0.82,-2.15,-0.02,6.45,-7.38,0.15,28
31.63,29.13,89.25,-0.05,-0.23,7.22,-3.52,6.69,-0.11,0.64,-2.18,-0.02,4.17,-8.87,0.08,28
15.13,13.13,89.56,-0.00,-0.22,7.26,-1.17,7.39,-0.01,0.37,-2.28,0.04,1.55,-9.68,0.05,28
358.56,-2.94,89.63,0.03,-0.21,7.29,1.30,7.35,0.09,0.10,-2.38,0.15,-1.20,-9.73,0.06,28
341.94,-19.19,89.38,0.08,-0.18,7.34,3.81,6.64,0.05,-0.06,-2.36,0.16,-3.87,-9.00,0.10,28
325.38,-35.56,88.81,0.13,-0.15,7.40,6.23,5.34,0.01,-0.02,-2.20,0.19,-6.26,-7.54,0.18,28
308.88,-52.06,87.69,0.20,-0.12,7.48,7.76,4.07,0.00,0.06,-1.87,0.26,-8.15,-5.44,0.26,28
292.50,-68.75,84.81,0.26,-0.09,7.57,9.23,2.00,0.00,0.09,-1.53,0.31,-9.37,-2.85,0.33,28
276.19,-85.25,4.19,0.32,-0.03,7.65,9.77,-0.30,-0.18,0.00,-1.03,0.17,-9.77,-0.72,0.36,28
264.75,-81.50,-77.06,3.43,3.60,5.64,-14.35,33.65,21.45,-23.96,35.59,21.39,-9.61,1.93,-0.06,28
250.00,-65.50,-91.56,1.02,1.07,7.51,-0.93,16.90,14.33,-9.53,21.60,14.09,-8.60,4.69,-0.24,28
233.81,-48.50,-95.19,0.94,0.88,7.62,8.00,-11.78,0.29,1.15,-4.80,-0.42,-6.84,6.98,-0.71,28
216.69,-31.50,-97.44,0.99,0.94,7.61,5.25,-10.46,1.38,0.75,-1.83,0.17,-4.49,8.62,-1.21,28
198.56,-14.50,-99.50,1.00,0.99,7.63,2.51,-11.31,1.87,0.76,-1.81,0.18,-1.74,9.50,-1.68,28
179.25,2.50,-101.69,1.02,1.03,7.62,-0.30,-11.28,2.25,0.84,-1.77,0.17,1.15,9.51,-2.07,28
159.00,19.44,-104.25,1.04,1.06,7.59,-2.96,-10.44,2.52,0.97,-1.77,0.19,3.93,8.67,-2.33,28
138.13,36.19,-107.88,1.06,1.09,7.55,-4.72,-9.28,2.64,1.08,-1.76,0.21,6.35,7.05,-2.44,28
117.00,52.69,-113.94,1.09,1.13,7.50,-6.66,-7.20,2.62,1.13,-1.77,0.21,7.80,5.42,-2.40,28
96.19,68.38,-127.63,1.11,1.17,7.46,-7.79,-4.68,2.47,1.32,-1.82,0.26,9.11,2.86,-2.20,28
82.31,78.25,-154.31,0.74,5.65,4.42,10.05,-17.79,-5.13,19.77,-17.35,-6.40,9.71,0.43,-1.27,28
74.81,85.00,0.81,0.50,7.50,2.03,-11.73,2.37,0.67,-2.05,2.04,2.22,9.67,-0.33,1.54,28
72.88,72.69,10.19,-0.17,3.43,-0.03,-7.10,2.70,-2.46,2.15,2.18,0.70,9.26,-0.51,3.17,28
73.63,65.19,7.13,-0.20,3.42,-0.11,5.53,-8.36,4.94,14.29,-8.87,9.32,8.76,-0.51,4.37,28
74.50,57.88,5.56,-0.26,3.10,-0.24,-5.84,-0.23,-2.83,4.47,-1.52,3.75,8.15,-0.48,5.42,28
76.00,51.63,3.13,0.09,2.73,-0.77,-1.76,-2.96,0.09,5.10,-2.67,5.13,7.53,-0.26,6.26,28
78.06,46.06,-0.31,0.49,2.47,-1.20,-1.41,-3.25,-0.60,5.64,-3.21,6.19,6.90,0.16,6.96,28
80.44,40.56,-5.00,1.07,2.38,-1.63,-1.32,-3.16,-1.69,5.05,-2.51,5.71,6.38,0.65,7.41,28
82.50,36.25,-9.38,1.78,2.46,-2.07,-1.37,-3.59,-2.25,4.21,-2.05,5.66,5.58,1.54,7.91,28
85.19,29.75,-15.94,1.61,3.03,-1.50,0.53,-5.27,-5.45,5.12,-2.73,2.83,4.59,2.53,8.28,28
86.31,22.06,-19.06,1.10,3.39,-1.21,-2.45,-2.54,-7.54,0.91,0.56,1.13,3.36,3.10,8.67,28
87.38,13.75,-21.31,0.82,3.81,-1.34,-1.08,-2.83,-8.13,0.83,0.67,0.81,1.91,3.51,8.95,28
88.56,3.25,-21.63,0.05,4.84,-1.54,3.07,1.06,-2.91,3.11,4.67,6.20,0.04,3.60,9.12,28
90.25,-9.19,-19.75,-1.57,4.95,-1.80,-14.30,8.90,17.10,-10.34,6.13,16.99,-1.96,3.06,9.10,28
91.38,-17.06,-14.50,-2.36,3.01,-1.13,2.95,-2.80,-8.82,-0.15,0.20,0.30,-3.17,2.11,9.03,28
92.25,-24.13,-8.88,-2.32,3.07,-1.02,-8.69,-5.39,2.40,-13.97,-8.63,24.65,-4.27,1.18,8.74,28
92.38,-28.75,-6.25,-0.61,1.58,-0.20,3.46,-4.01,-6.37,-1.25,-3.07,2.17,-4.71,0.94,8.54,28
90.31,-32.06,-5.75,-0.08,1.44,0.23,-0.71,-5.04,0.00,-5.92,-4.21,8.26,-5.21,0.83,8.26,28
