orix,oriy,oriz,gyrox,gyroy,gyroz,linerx,linery,linerz,accx,accy,accz,gravx,gravy,gravz,temp
236.94,75.94,-37.88,-0.55,-0.09,0.37,-3.48,-1.52,-0.57,6.03,-0.11,1.30,9.52,1.40,1.88,28
236.88,76.88,-32.81,-0.63,-0.15,0.59,-2.22,-1.04,0.17,7.49,0.16,2.01,9.55,1.14,1.86,28
237.50,77.50,-29.50,-0.88,-0.13,0.05,-1.11,-1.02,0.01,8.15,0.16,1.88,9.57,1.03,1.84,28
240.19,77.13,-29.44,-1.25,0.09,-0.42,-1.78,-0.58,0.07,7.58,0.68,2.08,9.55,1.08,1.91,28
243.38,76.63,-28.38,-1.47,0.09,-0.17,-1.46,-0.19,0.09,8.31,0.66,1.98,9.53,1.05,2.01,28
246.19,76.50,-24.31,-1.66,0.08,0.11,-0.84,-1.28,-0.33,8.68,-0.34,1.74,9.53,0.94,2.08,28
248.75,76.31,-19.25,-1.61,0.16,0.07,-1.29,-1.57,-0.93,8.23,-0.80,1.24,9.52,0.76,2.18,28
250.81,76.13,-16.56,-1.42,0.01,-0.09,-1.58,-1.53,-0.18,7.93,-0.89,2.06,9.52,0.64,2.25,28
253.69,76.13,-14.94,-1.59,-0.06,-0.33,-0.78,0.07,-0.54,8.73,0.68,1.72,9.52,0.60,2.27,28
257.56,76.06,-15.56,-1.71,-0.14,-0.60,-1.83,-0.58,-0.13,7.68,0.06,2.12,9.51,0.65,2.26,28
261.50,76.44,-17.69,-1.38,-0.46,-0.45,-0.86,-0.26,-0.23,8.95,0.48,1.65,9.54,0.70,2.14,28
263.81,77.25,-18.00,-1.04,-0.38,0.01,0.53,0.48,-0.91,10.72,1.07,1.13,9.57,0.63,2.02,28
265.19,78.00,-15.25,-0.94,-0.21,0.13,1.50,0.45,-1.29,10.72,1.29,0.46,9.59,0.51,1.96,28
266.63,78.00,-13.19,-0.96,0.05,-0.07,0.57,1.31,-1.31,10.09,1.80,0.62,9.59,0.45,1.98,28
268.56,78.06,-11.94,-1.15,-0.15,-0.14,0.32,0.56,-0.91,9.91,0.98,1.06,9.59,0.41,1.98,28
271.38,78.63,-13.44,-1.07,-0.39,-0.43,1.01,-0.05,0.02,10.63,0.39,1.90,9.61,0.45,1.88,28
273.31,79.00,-16.50,-0.87,-0.26,-0.43,0.76,-0.09,-0.29,10.39,0.45,1.47,9.63,0.55,1.76,28
275.31,79.00,-19.38,-0.56,0.11,-0.31,0.74,0.18,-0.21,10.37,0.82,1.55,9.62,0.63,1.77,28
276.63,78.44,-21.13,-0.42,0.17,-0.35,1.47,1.14,-0.52,11.07,1.88,1.32,9.60,0.73,1.84,28
278.25,77.88,-22.88,-0.49,0.11,-0.27,2.25,1.63,-0.72,11.58,2.49,1.23,9.58,0.80,1.90,28
278.81,77.75,-23.50,-0.13,-0.12,-0.07,1.11,1.00,-0.37,10.11,1.70,1.90,9.58,0.83,1.88,28
278.44,78.75,-25.19,0.10,-0.68,0.09,1.72,0.95,0.21,11.15,1.77,2.59,9.63,0.81,1.65,28
277.81,80.13,-29.44,0.55,-0.61,-0.02,2.31,0.22,0.91,11.86,0.96,2.22,9.66,0.83,1.40,28
276.38,80.69,-32.63,0.66,-0.08,0.06,1.05,0.46,0.56,10.72,1.31,1.89,9.67,0.85,1.33,28
274.75,80.75,-32.13,0.68,0.06,0.17,1.22,1.94,0.18,10.90,2.78,1.51,9.68,0.83,1.32,28
273.44,80.94,-32.06,0.44,-0.16,0.09,1.63,2.26,-0.40,11.32,3.08,0.88,9.68,0.81,1.28,28
272.38,81.31,-33.38,0.23,-0.05,-0.02,1.30,0.73,-0.23,11.00,1.55,0.99,9.69,0.81,1.22,28
271.94,81.25,-34.19,0.24,0.04,-0.04,1.08,0.07,-0.07,10.77,0.91,1.15,9.69,0.84,1.23,28
271.63,81.19,-35.38,0.19,-0.03,-0.05,0.71,0.43,0.25,10.40,1.30,1.48,9.69,0.87,1.21,28
271.13,81.25,-35.81,0.04,0.02,0.02,0.35,0.63,0.07,10.04,1.50,1.28,9.69,0.87,1.21,28
270.81,81.06,-34.13,-0.02,0.20,0.10,-0.20,0.69,-0.39,9.48,1.55,0.86,9.68,0.84,1.27,28
270.13,80.75,-30.69,0.05,0.26,0.12,0.04,0.53,-0.69,9.72,1.33,0.65,9.67,0.80,1.35,28
269.94,80.38,-28.63,-0.05,0.18,-0.02,0.56,0.24,-0.60,10.23,1.02,0.83,9.67,0.78,1.43,28
270.19,80.06,-28.63,-0.06,0.14,-0.08,0.61,-0.60,-0.61,10.27,0.21,0.87,9.65,0.81,1.49,28
270.31,79.81,-28.75,0.02,0.04,-0.06,0.30,-0.43,-0.36,9.95,0.40,1.15,9.65,0.83,1.51,28
270.13,80.00,-29.63,-0.00,-0.17,-0.04,0.36,0.52,-0.67,10.03,1.36,0.78,9.66,0.84,1.45,28
270.00,80.38,-30.00,-0.13,-0.17,0.15,-0.05,-0.10,-0.77,9.61,0.44,0.52,9.67,0.79,1.39,28
269.81,81.06,-28.63,-0.12,-0.28,0.23,-0.97,-0.70,-0.32,8.71,0.02,1.00,9.68,0.72,1.32,28
269.13,82.00,-26.94,0.07,-0.25,0.30,-0.16,-0.49,0.33,9.54,0.12,1.54,9.71,0.61,1.21,28
268.75,82.25,-25.56,-0.03,0.08,0.02,0.56,0.15,-0.08,10.27,0.72,1.10,9.71,0.57,1.18,28
268.56,82.19,-24.25,-0.01,-0.12,0.19,0.38,0.02,-1.74,10.09,0.57,-0.52,9.71,0.54,1.21,28
267.94,82.69,-21.69,-0.01,-0.12,0.21,0.61,0.15,-0.15,10.34,0.61,1.00,9.72,0.45,1.15,28
267.63,82.75,-19.25,0.01,0.01,0.28,-0.36,0.32,-0.41,9.36,0.70,0.75,9.72,0.38,1.16,28
266.94,82.94,-14.94,-0.00,-0.01,0.21,0.05,-0.11,0.02,9.79,0.17,1.18,9.73,0.29,1.15,28
266.50,83.13,-1.44,-0.01,-0.08,0.14,0.42,-0.07,-0.62,10.15,0.16,0.51,9.73,0.24,1.13,28
266.19,83.25,-1.25,-0.00,-0.02,0.05,0.24,-0.14,-0.23,9.76,-0.11,0.51,9.73,0.21,1.12,28
266.13,83.44,-1.19,0.00,0.02,0.01,0.00,0.09,-0.35,9.74,0.30,0.73,9.74,0.20,1.09,28
266.00,83.56,-1.19,0.00,0.00,0.01,0.12,0.15,-0.23,9.86,0.36,0.84,9.74,0.20,1.07,28
265.88,83.63,-1.13,0.00,-0.00,0.00,-0.03,-0.02,-0.40,9.71,0.17,0.66,9.74,0.20,1.06,28
265.81,83.69,-1.13,-0.00,-0.01,0.00,-0.01,0.05,-0.41,9.72,0.25,0.63,9.74,0.20,1.05,28
