orix,oriy,oriz,gyrox,gyroy,gyroz,linerx,linery,linerz,accx,accy,accz,gravx,gravy,gravz,temp
358.44,-0.81,6.37,-0.01,-0.01,-0.01,0.04,0.11,-0.10,-0.10,-0.98,9.63,-0.14,-1.09,9.74,25
358.44,-0.81,6.37,-0.01,-0.01,-0.01,-0.01,0.14,-0.24,-0.15,-0.94,9.50,-0.14,-1.09,9.74,25
358.44,-0.81,6.37,-0.00,-0.00,-0.01,-0.02,0.12,-0.24,-0.16,-0.96,9.50,-0.14,-1.09,9.74,25
358.44,-0.81,6.37,-0.00,-0.00,-0.00,0.01,0.12,-0.27,-0.12,-0.96,9.47,-0.14,-1.08,9.74,25
358.44,-0.81,6.31,-0.00,-0.00,-0.00,0.02,0.10,-0.22,-0.11,-0.98,9.52,-0.14,-1.08,9.74,25
358.44,-0.81,6.31,0.00,-0.00,-0.00,-0.02,0.09,-0.24,-0.16,-0.99,9.49,-0.14,-1.08,9.74,25
358.44,-0.81,6.31,0.00,0.00,0.00,0.02,0.09,-0.24,-0.11,-0.99,9.50,-0.14,-1.08,9.74,25
358.44,-0.81,6.31,0.00,-0.00,-0.00,0.00,0.08,-0.23,-0.13,-0.94,9.45,-0.14,-1.08,9.74,25
358.44,-0.81,6.31,-0.00,0.00,-0.00,-0.01,0.10,-0.26,-0.14,-0.98,9.51,-0.14,-1.08,9.74,25
358.44,-0.81,6.31,-0.00,-0.00,-0.00,0.03,0.07,-0.26,-0.12,-0.98,9.52,-0.14,-1.08,9.74,25
358.44,-0.81,6.31,0.00,0.00,-0.00,-0.01,0.10,-0.26,-0.15,-0.98,9.47,-0.14,-1.08,9.74,25
358.44,-0.81,6.31,0.00,-0.00,-0.00,0.00,0.09,-0.25,-0.15,-0.98,9.49,-0.14,-1.08,9.74,25
358.44,-0.81,6.31,0.00,-0.00,0.00,0.02,0.07,-0.24,-0.11,-1.00,9.50,-0.14,-1.08,9.74,25
358.44,-0.81,6.31,-0.00,-0.00,0.00,0.00,0.06,-0.24,-0.13,-1.01,9.50,-0.14,-1.08,9.74,25
358.44,-0.81,6.31,0.00,-0.00,0.00,0.00,0.08,-0.24,-0.13,-0.99,9.50,-0.14,-1.07,9.74,25
358.44,-0.81,6.31,0.00,0.00,-0.00,0.02,0.11,-0.23,-0.11,-0.96,9.50,-0.14,-1.07,9.74,25
358.44,-0.81,6.31,0.00,-0.00,0.00,0.00,0.09,-0.24,-0.14,-0.98,9.50,-0.14,-1.07,9.74,25
358.44,-0.81,6.31,0.00,0.00,0.00,0.01,0.07,-0.25,-0.12,-1.00,9.49,-0.14,-1.07,9.74,25
